Name,StatusApril,Status,Type,Location,Description,FundingSource,ProjectTeam,ProjectTeamInfo,Image,Link,Center
Corporation Yard Facility Improvements ,Design,Design,Facility,1326 Allston Way,"This is a Measure T1 Phase 2 project. The Corporation Yard is home for hundreds of employees that help provide services that help make the City a better and safer place for those who live, visit, or commute in it. This project consists of various upgrades to multiple facilities within the Corporation Yard, including paving, site drainage, roof repairs, electrical and mechanical upgrades, and renovations to the restrooms, training, locker rooms.The Green Room upgrade is in the final design stage and the next deliverable will be a permit set of drawings, specifications, and cost estimate. The H building is in the early design stage and the next step will be a 30% set of drawings.",['Measure T1'],"['Elmar Kapfer ', 'Titus Chen']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Titus Chen', 'Assistant Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img-Corporation-Yard-Facility-Improvements.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/corporation-yard-facility-improvements,
Dwight Way/California Street Intersection Project,Completed,Completed,Transportation,Intersection ofDwight Way and California Street,"The purpose of this project is to increase safety at the Dwight Way/California Street intersection, particularly for pedestrians and bicyclists. There has been a history of collisions and near-collisions at this intersection. The project originated as a Council Referral in October 2017 to improve the safety of the intersection, particularly for pedestrians and bicyclists. The project was budgeted in late 2018, and City staff prepared a conceptual design in 2019. Design concepts were developed by City traffic engineering staff in 2019 but stopped shy of detailed design due to staffing shortages. In response to recent increasing public interest to advance this project in an expedited manner, City staff restarted the design in April 2021 by utilizing a limited window of staff availability and by reprioritizing project commitments. Safety issues and proposed work at the Dwight/California intersection were discussed at events with the public and nearby residents and in Transportation Commission meetings in 2018 and 2019. The City hosted an online community meeting May 12, 2021. Two design alternatives were presented, and City staff proceeded with the design of Alternative 1, which includes a median refuge island on Dwight Way.Construction of project elements will be phased as follows: (1) pedestrian improvements, consisting of sidewalk extensions, directional curb ramps, a relocated western crosswalk, and intersection striping; (2) a temporary, “quick build” median refuge island on Dwight Way and evaluation of traffic data to determine if additional traffic controls are warranted; and (3) construction of a more permanent median refuge island, which is dependent on the results of the traffic evaluation, and repaving the intersection roadway, applying a pavement coating on a portion of California Street north of the intersection, reconfiguring the southbound bike lane to improve safety, and installing new pavement markings. Phase 1: The City completed Phase 1, which included pedestrian improvements, in December 2021. Phase 2: The City completed Phase 2, which included a temporary median refuge island and associated pavement marking and signage improvements, in March 2022. Staff have evaluated resulting traffic data and will present the findings in the community meeting on June 1, 2022. Phase 3: City staff are working to address community comments on the temporary median, including size and shape. Once these comments are addressed, the City will construct a more permanent median refuge island, repave the intersection roadway, apply a pavement coating on a portion of California Street north of the intersection, reconfigure the southbound bike lane to improve safety, and install new pavement markings.  Dwight Way is a two-way, two-lane arterial street with high traffic volumes, including AC Transit buses. California Street is a two-way, two-lane collector street and is part of City’s low-stress bikeway network; in particular, it is used by pedestrians and cyclists traveling to/from Longfellow Middle School.",[],['Kenneth Jung'],"[['Kenneth Jung', 'Project Manager']]",https://berkeleyca.gov//sites/default/files/2022-02/CalDwightPlan.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/dwight-waycalifornia-street-intersection-project,
Fire Station No. 2 Renovation,Design,Design,Facility,2029 Berkeley Way,"This is a Measure T1 Phase 2 project. The City of Berkeley’s Fire Station No. 2 is a 12,800 square foot, two-story fire station originally built in 1965 and retrofitted in 1998 to meet essential service standards. The station is comprised of apparatus storage and living quarters for fire staff. This project will upgrade the building’s HVAC and electrical systems, and improve security features. Project is in the design phase. Most recently, an ADA design was added after discussions with the Building Department and Fire Department. The next deliverable is a 30% drawing set, list of specifications, and cost estimate.",['Measure T1'],"['Elmar Kapfer ', 'Nick Cartegna']","[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works'], ['Nick Cartegna', 'Associate Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img-Fire-Station-2.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/fire-station-no-2-renovation,
Fire Station No. 6 Renovation,Design,Design,Facility,999 Cedar Street,"This is a Measure T1 Phase 2 project. Fire Station 6 is located on Cedar Street and was rebuilt in 1999 to meet essential service standards. This project involves windows, mechanical, electrical, and HVAC system upgrades to make the building more energy efficient. The project is currently in the design phase. Most recently, an ADA design was added after discussions with the Building Department and Fire Department. The next deliverable is a 30% drawing set, list of specifications, and cost estimate.",['Measure T1'],['Elmar Kapfer '],"[['Elmar Kapfer ', 'Supervising Civil Engineer ', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/img-Fire-Station-6.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/fire-station-no-6-renovation,
Frances Albrier Community Center Replacement Project,Planning,Planning,Facility,"Frances Albrier Community Center in San Pablo Park, 2800 Park Street, Berkeley, CA 94702","This is aMeasure T1Phase 1 project. Located at San Pablo Park, the Frances Albrier Community Center is a place where all community members can enjoy social, educational, and recreational activities. The facility currently offers recreation classes, childcare programs, and reservable spaces for private events. This project was for the planning and conceptual design of an upgrade to the Frances Albrier Community Center to increase accessibility, meet modern standards to become a Care and Shelter facility for a more resilient Berkeley, and provide a modern facility to meet the changing needs of our community now and for the future. The City is currently seeking opportunities for funding and grants to develop the design and complete construction. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the Frances Albrier Community Center Replacement Project email list” and provide your preferred contact information.",['Measure T1'],"['Wendy Wellbrock', 'Evelyn Chan']","[['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_FA_conceptual-design.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/frances-albrier-community-center-replacement-project,
FY 2014 Street & Watershed Improvements ,Completed,Completed,Street,"Various streets throughout Berkeley including Reconstruction or Resurfacing of all or part of: Wildcat Canyon Road, installing bio-swale in the traffic circle at the intersection of Spruce and Vine Streets, the underground stormwater detention basin on Eunice Street just east of Milvia Street, permeable pavement in the parking lanes on Milvia Street at Hopkins Street, and the bio-swale in Presentation Park at Allston Way and California Street.",At least 8 streets were paved in FY 2014 using funding from Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/fy-2014-street-watershed-improvements,
FY 2015 Street & Watershed Improvements  ,Completed,Completed,Street,"Various streets throughout Berkeley including Reconstruction or Resurfacing of all or part of: 6th Street, 9th Street, 10th Street, Addison Street, Alvarado Road, Bancroft Way, Bridge Road, Brookside Drive, Brookside Avenue, Buena Avenue, Cedar Street, Chabolyn Terrance, Columbia Circle, Comstock Court, Dwight Way, Folger Avenue, Glen Avenue, Glendale Avenue, Grizzly Peak Blvd, Keeler Avenue, Le Conte Avenue, Milvia Street, North Street, Parker Street, Roble Street, Rose Street, Roslyn Court, Russell Street, Terminal Place, The Spiral, Vine Street, and Yolo Avenue.",At least 33 streets were paved and 22 sealed in FY 2015 using funding from Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/fy-2015-street-watershed-improvements,
FY 2017 Surface Seals Project ,Completed,Completed,Street,"Various streets throughout Berkeley including 8th, Berryman, Campus, Cragmont, Delaware, Parker, Sonoma, The Alameda, The Circle, Vincente, and Woolsey were resurfaced with a slurry seal or rubberized cape seal.",At least 10 streets were sealed in FY 2017 using funding from Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/fy-2017-surface-seals-project,
FY 2018 Street Rehabilitation Project ,Completed,Completed,Street,"This rehabilitation project serviced these Berkeley streets: Cornell, Folger, Henry, Hilgard, Jones, Josephine, Modoc, Murray, Page, Poe, Prince, Rugby, Vermont. The project was funded by Measure M.","This project will resurface approximately 1.7 miles of City streets and repair or replace curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage and striping.","['Measure M', 'Measure B & BB']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/fy-2018-street-rehabilitation-project,
FY 2019 Street Rehabilitation and Surface Seal Project ,Completed,Completed,Street,"The Berkeley streets service were located at: 5th, 6th, Bonar, Burnett, Byron, Carleton, Catalina, Delaware, Derby, Dwight Crescent, Highland Place, Lincoln, Ridge and Station Place. This project was funded by Measure M,local Transportation dollars including Measures B & BB Sales Tax, and SB1 Transportation Tax funds.","This project will resurface approximately 2.3 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.","['Measure M', 'State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-02/20210830_City_of_Berkeley_013.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/fy-2019-street-rehabilitation-and-surface-seal-project,
George Florence Park Play Structure Replacement and Site Improvements,Completed,Completed,Park,"2121 Tenth Street, Berkeley, CA 94710","This is aMeasure T1Phase 1 project. Constructed in 1979, this neighborhood park was originally called the Tenth Street/Addison Park, and was officially named after the former owner of the site, George Florence. George Florence Park includes tot- and school‐age play areas, an open lawn and a pollinator garden maintained by community volunteers. Improvements included: renovation and expansion of the tot playground and school-age playgrounds, lawn and landscaping improvements, and related accessibility improvements.",['Measure T1'],['Evelyn Chan'],"[['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_GeorgeFlorence-2-5.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/george-florence-park-play-structure-replacement-and-site,
Grove Park Field and Playground Improvements,Construction,Construction,Park,"1730 Oregon Street, Berkeley, CA 94703","This is aMeasure T1Phase 1 and Phase 2 project. This is Phase 2 of improvements planned to the park. Phase 1 improvements included reconstruction of the tennis courts, and renovation of the basketball courts and public restroom, completed in 2017. Proposed Phase 2 improvements include: renovation of turf and infield area; landscaping and irrigation improvements; netting and fence improvements; the demolition and reconstruction of the Age 2-5 playground and Age 5-12 playground; accessibility improvements throughout the project site; renovation of the picnic area; drainage improvements; and various other related site improvements. The construction contract has been approved by Council and construction is scheduled to begin in May 2023 for a period of approximately 8 months through Winter 2024.","['Measure T1', 'Measure F']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_GrovePark-01.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/grove-park-field-and-playground-improvements,
Harrison Park Restroom Renovation,Design,Design,Park,"1100 Fourth Street, Berkeley, CA 94710","This is aMeasure T1Phase 2 project. Harrison Park contains two lighted playing fields for rugby, soccer, lacrosse, and other field sports, a skate park, and a field house with a meeting room and restroom. Proposed improvements include the renovation of the existing public restroom and related accessibility improvements. The design consultant has been contracted to begin conceptual design. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to Harrison Park Improvements email list” and provide your preferred contact information.",['Measure T1'],['Evelyn Chan'],"[['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-01/harrison-field-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/harrison-park-restroom-renovation,
Hopkins Corridor Traffic and Placemaking Study,Planning,Planning,Transportation,"Hopkins Corridor, North Berkeley","The Hopkins Corridor Traffic and Placemaking Study is a ""conceptual design"" study, with the primary focus centered around community outreach. Through this study, the City of Berkeley will be collecting placemaking and street design ideas directly from the North Berkeley residents, businesses, employees, and other key stakeholders who frequent this unique and joyful corner of Berkeley. This study is specifically catered to take a holistic approach to ""Complete Streets"" design, by garnering public feedback through multiple online workshops and working closely with residents and visitors in order to better understand their specific needs, the end result being the delivery of a final conceptual design and preferred set of options for traffic and placemaking improvements along the Hopkins Corridor.The impetus for the study was a Budget Referral approved by the Berkeley City Council in 2018. Hopkins Street is safe and accessible for all modes of transportation and has a historic character that provides lovely, joyful public spaces for residents, businesses, and visitors.",[],['Noah Budnick'],"[['Noah Budnick', 'Senior Management Analyst', 'NBudnick@cityofberkeley.info']]",https://berkeleyca.gov//sites/default/files/2022-03/hopkinsmap.png,https://berkeleyca.gov/your-government/our-work/capital-projects/hopkins-corridor-traffic-and-placemaking-study,
James Kenney Park Skate Spot,Planning,Planning,Park,1720 Eighth Street,"The James Kenney Skate Spot Project may bring another official skate spot to the City of Berkeley which currently only has two official skate spots. There is currently one skate spot at MLK Jr. Civic Center Park geared toward more intermediate users, and a skate park at Harrison Park which has more advanced features. The goal of this potential skate spot is to utilize a currently underused space in the existing park to provide appropriate-sized skate features that can be used by skaters to learn and develop their skills. Anticipated improvements related to the skate area include grading, drainage, fencing, and accessibility improvements. This project is currently in the beginning planning phase. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the James Kenney Park – Potential Skate Spot Park Improvements email list” and provide your preferred contact information.",['Measure F'],"['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-08/James-Kenney-Park-aerial-view.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/james-kenney-park-skate-spot,
"James Kenney Park, Picnic, and Play Area Renovation Project",Completed,Completed,Park,1720 Eighth Street,"The project included the renovation of the picnic and playground area, replacement of the play equipment, and improvements to other site amenities in conformance with current ADA standards. This project followed improvements to the sports courts and seismic renovation of the community center. Additional sidewalk was also added along Eighth Street to connect Virginia and Delaware Street, and the previous tot lot was reconstructed as a more open space area.","['Measure WW', 'Measure F']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_JamesKenney-01.JPG,https://berkeleyca.gov/your-government/our-work/capital-projects/james-kenney-park-picnic-and-play-area-renovation-project,
John Hinkel Park Hut ,Planning,Planning,Facility,41 San Diego Road,"John Hinkel Park Hut is a facility that was moved to John Hinkel Park by the Boy Scouts in 1938. It is located in the upper portion of the Park and accessed from San Diego Road. The facility is in need of repair and renovation to bring the building up to today’s standards and provide accessibility to the building. On November 16, 2022, the City held a community meeting to discuss the project and gather input on the potential renovation of the facility. Studies of the facility and surrounding area are being conducted and conceptual designs for the facility are in progress. The conceptual designs can be used to seek opportunities for funding and grants to develop the design and complete construction. To be included in future correspondence and notifications of project meetings or status, please contact the project team with subject “Please add me to John Hinkel Park Hut email list” and provide your preferred contact information.",['Measure F'],['Isaac Carnegie'],"[['Isaac Carnegie', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-11/John%20Hinkel%20Hut%20image.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/john-hinkel-park-hut,
John Hinkel Park Renovation Project,Completed,Completed,Park,"41 San Diego Road, Berkeley, CA 94707","This is aMeasure T1Phase 2 project. John Hinkel Park was designated as a historic landmark by the Landmarks Preservation Commission in April 2001. Historic elements include the stone masonry around the amphitheater area, fireplace, and seating areas. The playground area which was located on the hillside of the park has deteriorated and is inaccessible by today’s accessibility standards. This project relocated a new playground to the lower amphitheater area, includes a new picnic area, and repairs and restores a portion of the historic masonry work around the site and the amphitheater area, including various improvements to the site in conformance with current ADA standards. Construction has been completed and park is open for public use. Project is currently in close-out phase to complete minor punch list items. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the John Hinkel Park neighborhood email list” and provide your preferred contact information.","['Measure F', 'Measure T1']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_JH-picnic-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/john-hinkel-park-renovation-project,
Jordan Court,Completed,Completed,Affordable Housing,1601 Oxford Street,"Jordan Court is a housing community of 35 affordable studio units for seniors in the heart of North Berkeley. Residents will enjoy on-site amenities such as a community room, a courtyard with seating and adjacent laundry room, and upper floor terraces and lounge. Jordan Court was developed in partnership with All Souls Episcopal Parish, and includes administrative and residential space for the church.","['Measure O', 'Housing Trust Fund']","['Jenny Wyant', 'Satellite Affordable Housing Associates']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Satellite Affordable Housing Associates', '(510) 647-0700']]",https://berkeleyca.gov//sites/default/files/2022-10/Jordan%20Court%20ext.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/jordan-court,
K Dock Restroom Renovation,Planning,Planning,Other Infrastructure,"K-Dock, Berkeley Marina","This is aMeasure T1Phase 2 project. The restroom at K-Dock is a highly used and conveniently located public restroom at the hub of the Marina. It serves Marina Office visitors, slip holders and dock users accessing the charter fishing and small-scale ferry boats at the popular K-Dock particularly during fishing season. This project will enhance security, improve the interior space of the restroom with new energy and water efficient fixtures while meeting the latest American with Disability Act (ADA) standards. Exterior of the building will be renovated in-kind. The renovated restroom will make people more likely to feel comfortable visiting K-Dock and other nearby attractions at the Marina. This project is currently in the pre-design phase.",['Measure T1'],"['Robert Chan', 'Nelson Lam']","[['Robert Chan', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront'], ['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2023-02/K-dock%20Restroom%20image1.png,https://berkeleyca.gov/your-government/our-work/capital-projects/k-dock-restroom-renovation,
King Pool Tile and Plaster Replacement Project,Construction,Construction,Facility,1700 Hopkins St,"This is aMeasure T1Phase 2 project. King Pool was last plastered 13 years ago, and the surfacing had exceeded its useful life. The improvements include new pool plaster surface, waterline and imbedded tile, suction outlet covers, pool filter media, chemical controller updates, pool shell plumbing modification, and bathroom fixture modernization.The baseline scope has been substantially completed, and the pool has re-opened for public use. A change order will complete electrical controller work at the pool in the Spring of 2023.",['Measure T1'],"['Justin Pitcher ', 'Bruce Pratt']","[['Justin Pitcher ', 'Recreation Program Supervisor', 'Parks, Recreation & Waterfront'], ['Bruce Pratt', 'Parks Superintendent', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-11/King%20Pool%201.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/king-pool-tile-and-plaster-replacement-project,"[37.88276842764381, -122.27867850660195]"
King School Park Play Area Renovation Project,Construction,Completed,Park,"1700 Hopkins Street, Berkeley, CA 94707","A giant eucalyptus tree toppled during the night of February 26, 2019, crushing and destroying the tot playground used by children age 2-5. Several site elements around the tot-lot were also damaged or destroyed. The King School Park Project included the replacement of the age 2-5 playground, added a new age 5-12 play element dubbed the “DNA Tower” where the eucalyptus tree once stood, and included various other accessibility and site improvements to the park, including the installation of new trees back to the park. Work was completed in November 2021 in coordination with the Berkeley Unified School District.",['Measure F'],"['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/img_KSP-01.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/king-school-park-play-area-renovation-project,"[37.88276842764381, -122.27867850660195]"
Live Oak Community Center Renovation and Seismic Upgrade ,Completed,Completed,Facility,"Live Oak Community Center, located at 1301 Shattuck Ave.","This is a Measure T1Phase 1 project. The Live Oak Community Center was identified as a care and shelter facility for the City of Berkeley as part of the City’s goals for Disaster Preparedness and to become a more resilient city. A seismic structural upgrade was necessary in order to prevent major damage to the building, to achieve an “immediate occupancy” rating in the event of an earthquake or other major disaster. Other upgrades for energy efficiency and sustainability were included to come closer to meeting the City’s climate action plan and resiliency goals. The project also included necessary upgrades to increase accessibility at the site to meet new and current building codes.","['Measure T1', 'Measure F']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-03/Live-Oak-exterior.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/live-oak-community-center-renovation-and-seismic-upgrade,
Marina Corporation Yard Electrical Upgrade,Completed,Completed,Facility,"Berkeley Marina Corporation Yard, next to 201 University Ave","This is aMeasure T1 Phase 1 project. The Berkeley Marina is a popular destination for community members and tourists to enjoy. The Marina Corporation Yard houses maintenance staff and equipment to service over 100 acres of park space, seven miles of trails, picnic areas, and City facilities at the Berkeley Marina. This project includes much-needed upgrades to its electrical distribution system at the Marina Corporation Yard Maintenance Building.",['Measure T1'],['Titus Chen'],"[['Titus Chen', 'Assistant Civil Engineer', 'Public Works']]",https://berkeleyca.gov//sites/default/files/2022-04/20210830_City_of_Berkeley_009.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/marina-corporation-yard-electrical-upgrade,
Maudelle Miller Shirek Community,Construction,Construction,Affordable Housing,2001 Ashby Avenue,"Maudelle Miller Shirek Community is an affordable rental community under construction. Construction started in February 2022 and we anticipate completing it in Spring 2024. Maudelle Miller Shirek Community is centrally located across the street from the Ashby BART station. This transit-rich mixed-use community is close to shopping, schools, dining, and jobs, which will provide 87 apartments consisting of 18 studios, 21 one-bedrooms, 26 2-bedrooms, and 22 3-bedrooms.","['Measure O', 'State Local Housing Trust Fund', 'Measure U1']","['Jenny Wyant', 'Resources for Community Development']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Resources for Community Development', '(510) 841-4410', '']]",https://berkeleyca.gov//sites/default/files/2022-10/2022-10-14%20Maudelle%20rendering.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/maudelle-miller-shirek-community,
Milvia Permeable Pavers ,Completed,Completed,Storm,"At the intersection of Eunice and Milvia, Milvia and Hopkins",This project combined permeable pavers and a cistern to filter and store storm water from approximately 9 acres. The installation of permeable pavement and infiltration planter wells remove litter and sediment at the intersection of Hopkins Street and Milvia Street. The soil and plants provide bio-remediation of storm water before runoff enters Codornices Creek. This project was funded by Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",https://berkeleyca.gov//sites/default/files/2022-10/Milvia%20Permeable%20Pavers%202.png,https://berkeleyca.gov/your-government/our-work/capital-projects/milvia-permeable-pavers,"[37.886157044869286, -122.27316021854382]"
Milvia Street Bikeway Improvements Project,Completed,Completed,Transportation,"The project covers 12 contiguous blocks of Milvia Street, from Hearst Avenue to the north to Blake Street to the south.","Objectives of the project are to: The project plans include a Class IV protected bikeway with separation from motor traffic by way of a vertical element, intersection treatments and traffic calming features, and elimination of the slip lane at Milvia and Center Street. Initial funding for conceptual design and environmental review has been provided by a grant from the Alameda County Transportation Commission (Alameda CTC). Funding for detailed engineering design and construction has been provided by a grant from the State of California Affordable Housing and Sustainable Communities (AHSC) program. Berkeley has the highest rate of bicycling to work in the United States among cities with over 100,000 residents, and Milvia is the City’s primary north-south bikeway. In recent years, there's been a significant rise in bicycle activity in Downtown Berkeley, particularly along Milvia Street. At last count, over 500 people on bicycles pass through the intersection of Milvia and Channing during the 2-hour PM peak period alone. During the same period, over 400 pass through the Intersection of Milvia and Hearst. While the high volume of use is encouraging, there has also been a high volume of collisions. According to analysis completed for the City Bicycle Plan 2017, Milvia Street had the highest number of total collisions between 2001 and 2012, which suggests that design changes should be evaluated to better accommodate the mix of roadway users along this downtown Bicycle Boulevard. The National Association of City Transportation Officials (NACTO) recommends vehicle volumes lower than 1,500 per day to provide a comfortable bicycling environment for children, families, and others who feel unsafe riding in traffic. A number of City plans and policies have highlighted the stretch of Milvia Street in Downtown Berkeley as a high priority area for bicycle facility improvements. The Strategic Plan (2018), Bicycle Plan (2017), and Strategic Transportation Plan (2016) recommend replacing the existing segments of Class III bicycle shared-roadway markings and Class II bicycle lanes on Milvia between Hearst Avenue and Blake Street with a Class IV protected bikeway (also known as a cycle track). Similarly, the Streets and Open Space Improvement Plan (2012) and Downtown Area Plan (2012) recommend establishing a continuous bicycle lane and traffic calming on Milvia through downtown.","['Measure B & BB', 'Affordable Housing and Sustainable Communities (AHSC)']",['Kenneth Jung'],"[['Kenneth Jung', 'Supervising Civil Engineer', 'kjung@cityofberkeley.info']]",https://berkeleyca.gov//sites/default/files/2022-02/Milvie-Bikeway-Allston.png,https://berkeleyca.gov/your-government/our-work/capital-projects/milvia-street-bikeway-improvements-project,
MLK Jr. Youth Services Center/Y.A.P. Seismic Retrofit and Renovation ,Planning,Planning,Facility,"1730 Oregon Street, Berkeley, CA 94703","This is aMeasure T1 Phase 2 project. Located next to Grove Park, the Martin Luther King Jr. Youth Services Center/Young Adult Project (Y.A.P.) houses various afterschool and summer recreation programs such as tutoring, violence prevention, and leadership development for teens and young adults. The MLK Jr. Youth Services Center/Y.A.P. has been designated as one of the City's care and shelter facilities identified in the City's Resilience Strategy.The primary objective of this project is a seismic retrofit of this 1950s building, as well as various interior and exterior upgrades in order to create a more modern and flexible recreation center that is safe and accessible to the community it serves.The project is currently in the conceptual design phase, and the consultant is preparing the application for a Zoning Permit. Community meetings were held on March 31, 2022 and May 26, 2022 to gather feedback. An update to the project and conceptual designs can be viewed under the Documents section below. After reviewing the presentation, please fill out an online questionnaire about this project. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to MLK Jr. Youth Services Center/Y.A.P. Improvements email list” and provide your preferred contact information.",['Measure T1'],"['Wendy Wellbrock', 'Evelyn Chan']","[['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",https://berkeleyca.gov//sites/default/files/2022-04/MLK_YAP.jpg,https://berkeleyca.gov/your-government/our-work/capital-projects/mlk-jr-youth-services-centeryap-seismic-retrofit-and,
