"Permit.Number","Permit.Type","Status","Date.Issued","Sub.Type","Property.Address","Valuation","APN","Contractor.s.Name","Contractor.s.Address","Work.Description"
"B2020-02520","Building Permit","Issued","11/19/2020","Commercial | Sign | 1","2580 BANCROFT Way,
BERKELEY, CA 94704","8500","055
187701902","","","Install 2 new illuminated wall signs and  1 non- illuminated clearance sign."
"B2020-02540","Building Permit","Issued","11/24/2020","Residential | Alteration | 1","1537 SIXTY-THIRD St,
BERKELEY, CA 94703","60000","052
143800400","RELIABLE ROOFING","12441 CHANDLER BLVD, VALLEY VLG, CA, CA91607-1606","Replacing windows and siding."
"B2020-02568","Building Permit","Issued","11/17/2020","Commercial | Alteration | 1","1797 SHATTUCK Ave C, BERKELEY, CA 94709","11000","058
217701501","FMK CONSTRUCTION INC","1366 DOOLITTLE DR, SAN LEANDRO, CA, CA94577-2240","Add 12 SF prefab. walk-in freezer in customer area. Eliminate eat-in, and provide take-out service only."
"B2020-02576","Building Permit","Issued","11/6/2020","Residential | Alteration | 4","2539 DURANT Ave 1,
BERKELEY, CA 94704","8500","055
187700500","CROWN CONSTRUCTION","7708 SAN SABANA CT, DUBLIN, CA, CA94568","Interior remodeling including non bearing wall removal and relocation if doors to create a bedroom in studio."
"B2020-02577","Building Permit","Issued","11/6/2020","Residential | Alteration | 4","2539 DURANT Ave 6,
BERKELEY, CA 94704","8500","055
187700500","CROWN CONSTRUCTION","7708 SAN SABANA CT, DUBLIN, CA, CA94568","Interior remodeling including non bearing wall removal and relocation if doors to create 2nd bedroom.  Unit #6"
"B2020-02579","Building Permit","Issued","11/25/2020","Residential | Alteration | 4","2539 DURANT Ave 14,
BERKELEY, CA 94704","8500","055
187700500","CROWN CONSTRUCTION","7708 SAN SABANA CT, DUBLIN, CA, CA94568","Interior remodeling including non bearing wall removal and relocation if doors to create 2 bedroom unit."
"B2020-02581","Building Permit","Issued","11/25/2020","Residential | Alteration | 4","2539 DURANT Ave 16,
BERKELEY, CA 94704","11500","055
187700500","CROWN CONSTRUCTION","7708 SAN SABANA CT, DUBLIN, CA, CA94568","Interior remodeling including non bearing wall removal and relocation of kitchen, install wall and doors to create 2 bedrooms."
"B2020-02608","Building Permit","Issued","11/10/2020","Residential | Alteration | 1","79 ROCK Ln, BERKELEY, CA 94708","165000","063
296000604","CHRIS KIEFER CONSTRUCTION","5740 OLINDA RD, RICHMOND, CA, CA94803","Repair of existing two-car garage due to tree damage including replacement of the roof, walls, windows, doors and concrete slab-on-grade.
Property in Fire Zone 2."
"B2020-02710 ","Building Permit ","Issued ","11/10/2020 ","Commercial | Alteration | 1 ","800 DWIGHT Way,
BERKELEY, CA 94710 ","100000 ","054
177300304 "," "," ","Temporary improvements east of 4th St, between Miles Wy and Carleton St: grading; concrete walkways; decomposed granite paths; lawn areas; gravel pad for construction staging; new storm drain and catch basins; erosion control measures. See
demo permits B2019-04909, 04910, 04911, and 4914."
"B2020-02718","Building Permit","Issued","11/9/2020","Residential | Addition/Alteration
| 4","2417 BROWNING St,
BERKELEY, CA 94702","160000","056
193103201","","","Remodel of main floor to include opening up existing bedroom to kitchen, remodel of kitchen to inlcude new island and doors to rear yard and reconfigured bathroom for new laundry. Second story additon (497sqft) and remodel for two bedrooms and one master suite."
"B2020-02719","Building Permit","Issued","11/23/2020","Residential | Alteration | 4","1639 TENTH St, BERKELEY, CA 94710","220000","058
212802000","","","Remodel of two bathrooms and kitchen and laundry closet addition of 8 sqft.
Update the electrical in the entire home and bring it up to code. Build a new
deck off the kitchen"
"B2020-02724","Building Permit","Issued","11/19/2020","Residential | Alteration | 1","964 KEELER Ave,
BERKELEY, CA 94708","120000","063
297001000","ALWARD CONSTRUCTION","1035 CARLETON STREET, BERKELEY, CA, CA94710","Existing house remodel, incl. master bath/bedroom, electrical/lighting improvements, heat pump water heater, insulation,  brick chimney bracing, voluntary seismic strengthening; garden level deck and exterior stair rebuild.  Property in Fire Zone 2."
"B2020-02837","Building Permit","Issued","11/9/2020","Residential | Alteration | 0","1718 NINTH St, BERKELEY, CA 94710","7000","058
212300800","","","Remodel of (2) existing bathrooms including installation of exhaust fan in each bathroom."
"B2020-02839","Building Permit","Issued","11/17/2020","Residential | Alteration | 1","2550 DANA St 3AB, BERKELEY, CA 94704","132500","055
183208000","TAPPAN BUILDERS","2625 ALCATRAZ AVE STE 506, BERKELEY, CA, CA94705-2702","Interior remodeling including Kitchen, baths, flooring and finishes, repair lanai windows."
"B2020-02865","Building Permit","Finaled","11/2/2020","Residential | Alteration | 0","3108 HARPER St,
BERKELEY, CA 94703","22000","052
154900700","ONE STOP PLASTERING INC","309 PALOMA AVE, SAN RAFAEL, CA, CA94901-2024","• remove stucco leftside of bldg.
• Replace 8 windows with new
• Install plywood if needed
• Install new insulation if needed
• Install new stucco"
"B2020-02880","Building Permit","Issued","11/13/2020","Residential | Alteration | 4","1451 CATHERINE Dr,
BERKELEY, CA 94702","175322","059
228607400","FEINER MICHAEL","PO BOX 86, BERKELEY, CA, CA94701","Relocate kitchen, dining and downstairs bathroom, relocate laundry. remodel Master bathroom, add bathtub to bathroom 2, and open new kitchen door to new deck."
"B2020-02889","Building Permit","Issued","11/19/2020","Residential | Alteration | 1","65 TUNNEL Rd, BERKELEY, CA 94705","3257","064
422601900","","","Alteration of garage to replace broken garage rollup door with infill framing and exterior outswing entry door. Formally converting garage to workshop.
Property in Fire Zone 2."
"B2020-02895","Building Permit","Issued","11/9/2020","Residential | Alteration | 0","1315 PERALTA Ave,
BERKELEY, CA 94702","9000","060
241607300","","","Building permit for a 3 ft. 8 in. retaining wall that is part of the planned demolition of an existing detached garage and its replacement with an on- site paved parking site and plantings."
"B2020-02909","Building Permit","Issued","11/13/2020","Residential | Demolition | 1","1315 MILVIA St, BERKELEY, CA 94709","10000","060
245301800","CONSCIOUS CONSTRUCTION","3421 HOLLIS ST STE G, OAKLAND, CA, CA94608","Demo an existing stand-alone garage."
"B2020-02960","Building Permit","Finaled","11/9/2020","Residential | Alteration | 0","1016 GRAYSON St,
BERKELEY, CA 94710","7500.00","053
166000900","PF REILLY & CO INC","3296 KEEFER RD, CHICO, CA, CA95973-9713","Install vinyl siding over the existing siding, on back wall only."
"B2020-02967","Building Permit","Issued","11/9/2020","Commercial | Demolition | 1","800 DWIGHT Way B48, BERKELEY, CA 94710","150000","054
177000801","","","Demolition of 8,000 square foot Communications and Administration facility and utilities serving it."
"B2020-02967","Building Permit","Issued","11/9/2020","Commercial | Demolition | 1","800 DWIGHT Way B48, BERKELEY, CA 94710","150000","054
177300304","","","Demolition of 8,000 square foot Communications and Administration facility and utilities serving it."
"B2020-02976 ","Building Permit ","Issued ","11/12/2020 ","Residential | Alteration | 1 ","1322 BLAKE St, BERKELEY, CA 94702 ","122732 ","054
179002100 ","MERLYN CONSTRUCTION ","14 7TH ST, RICHMOND, CA, CA94801-
3512 ","Interior Renovation: Remove (E) Fixtures &  Finished in Kitchen & two Bathrooms. (N) Fixtures & Finishes. Replace 5 Existing windows with (N) insulated units. Relocate 1 (E) window to rear. Replace two exterior doors. Demo (E) closet walls, replace with new closet configuration. (N) Heat Pump Hot Water HPHW."
"B2020-03010","Building Permit","Issued","11/9/2020","Residential | Addition/Alteration
| 4","832 PERALTA Ave,
BERKELEY, CA 94707","110000","062
287000800","WORKSHOP CONSTRUCTION","2421 VALLEY ST, BERKELEY, CA, CA94702-2135","770 SF single-story rear addition to an existing single-story single family residence.  The scope includes the demolition of an existing enclosed porch, and replacement of the existing roof on the house.  Addition includes bedroom bathroom, laundry, mud room, and den."
"B2020-03031","Building Permit","Finaled","11/12/2020","Residential | Alteration | 0","745 KEELER Ave,
BERKELEY, CA 94708","20000.00","063
296406401","WINFIELD CONSTRUCTION CO","1096 YERBA BUENA AVE, EMERYVILLE, CA, CA94608","Per Termite Report #201487, Dated Aug 10, 2020. Item #3A. Replace decking & repair deck.  Property in Fire Zone 2."
"B2020-03040","Building Permit","Issued","11/10/2020","Residential | Alteration | 1","2319 CALIFORNIA St,
BERKELEY, CA 94703","5000","055
191203500","","","Lay slab of concrete and install a swim spa on top"
"B2020-03052","Building Permit","Finaled","11/10/2020","Residential | Alteration | 1","855 COLUSA Ave,
BERKELEY, CA 94707","0","062
288702100","SUTRO POWER","6521 CALIFORNIA ST, SAN FRANCISCO, CA, CA94121-1809","Install Solar PV. Fire Zone 2 Property."
"B2020-03126","Building Permit","Issued","11/5/2020","Commercial | Alteration | 1","2815 SEVENTH St,
BERKELEY, CA 94710","12667","053
165802301","ADVANCED BUILDING SOLUTIONS","855 LAKEVILLE ST STE 200, PETALUMA, CA, CA94952-7329","SIGNAGE, FACADE & AWNING IMPROVEMENTS, AS FOLLOWS:
·REPLACE & ENLARGE PROJECTING SIGN AT FRONT OF STRUCTURE·REPLACE CLOTH AWNING ·MISC PAINT & REPAIRS TO SECURITY FENCING
Valuation increased from $7,500 to $12,667"
"B2020-03136","Building Permit","Issued","11/16/2020","Residential | Alteration | 0","1428 BONITA Ave,
BERKELEY, CA 94709","0","059
226901200","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 4.08 KW PV solar panels (17 modules) on the roof with a new Energy Storage System & two
(2) backup batteries (13.5 KW), a new subpanel & a 200 AMP Backup Gateway."
"B2020-03160","Building Permit","Issued","11/4/2020","Residential | Alteration | 1","2833 WEBSTER St,
BERKELEY, CA 94705","45000","052
156509700","","","Repair 126 SF roof deck waterproofing and railing. Replace sunroom windows and deck door. Minor interior wall changes"
"B2020-03167","Building Permit","Issued","11/19/2020","Residential | Addition/Alteration
| 4","2609 MATHEWS St,
BERKELEY, CA 94702","99000","054
178801600","M & C CONSTRUCTION","657 54TH ST, OAKLAND, CA, CA94609-
1623","Addition to enlarge bedroom and add a bath. Remodel kitchen and existing bath."
"B2020-03170","Building Permit","Finaled","11/3/2020","Residential | Alteration | 0","2136 CURTIS St A, BERKELEY, CA 94702","0","056
198501300","GENDUN CHOEPHEL ELECTRIC","4017 CLINTON AVE, RICHMOND, CA, CA94805-1837","Replace Breaker Panel and replace switches and outlets.
Extend Stove Gas Pipe and Hook up Gas Dryer"
"B2020-03171","Building Permit","Issued","11/19/2020","Residential | Demolition | 1","1118 OXFORD St,
BERKELEY, CA 94707","500","061
255801200","MK CONSTRUCTION","PO BOX 2181, EL CERRITO, CA, CA94530","Removal of dilapidated former garage structure: removal of wood framing and
remaining concrete foundation segments. No utilities in structure."
"B2020-03184","Building Permit","Issued","11/13/2020","Residential | Alteration | 4","2870 WEBSTER St,
BERKELEY, CA 94705","8000.00","052
156406900","BEYOND FINISH CARPENTRY & BUILDERS","1434 65TH AVE, OAKLAND, CA, CA94621-3804","Add of 110sf master bathroom (2nd Story).  This project is concurrent with the remodel permit B2019-05406."
"B2020-03185","Building Permit","Issued","11/18/2020","Residential | Alteration | 1","6 VALLEJO St, BERKELEY, CA 94707","15000","062
289600100","","","Remodel 3 existing bathrooms. Addition of a stack laundry unit in hall closet. Surface finishes, electrical switching and lighting all modified in affected areas.  Fire zone 2"
"B2020-03187","Building Permit","Finaled","11/19/2020","Residential | Alteration | 1","1192 OXFORD St,
BERKELEY, CA 94707","10000.00","061
255802700","BAY AREA UNDERPINNING","5170 FULTON DR, FAIRFIELD, CA, CA94534-4221","Install five (5) push piers to stabilize residence. Property in Fire Zone 2."
"B2020-03197","Building Permit","Issued","11/9/2020","Residential | Alteration | 0","2700 BELROSE Ave,
BERKELEY, CA 94705","48760","054
170204201","CUSTOM KITCHENS","6624 TELEGRAPH AVE, OAKLAND, CA, CA94609","Residential kitchen remodel.  Property in Fire Zone 2."
"B2020-03248","Building Permit","Issued","11/17/2020","Residential | Alteration | 1","725 SPRUCE St,
BERKELEY, CA 94707","65000","063
295905800","MC LAUGHLIN RENOVATIONS & CONSTRUCTION INC","2 CORTES CT, MORAGA, CA, CA94556-
1903","Remodel 2 (E) bathrooms, add toilet and tub/shower to dressing area for owners bath, upgrade electrical, add (3) exhaust fans, add skylight, heated floors to (2) bathrooms.  Must Comply with Fire Zone 2 Requirements."
"B2020-03265","Building Permit","Issued","11/19/2020","Residential | Alteration | 1","2531 ELLSWORTH St,
BERKELEY, CA 94704","6000","055
183201900","SMARTSCAPING","725 FOLGER AVE STE 2, BERKELEY, CA, CA94710","Replace back yard deck."
"B2020-03282","Building Permit","Issued","11/23/2020","Residential | Alteration | 1","900 MURRAY St,
BERKELEY, CA 94710","0","053
163401802","BAY AREA ENERGY SOLUTIONS INC","1326 MARSTEN RD, BURLINGAME, CA, CA94010-2406","Installation of a rooftop 76.68 kW solar PV system."
"B2020-03296","Building Permit","Issued","11/24/2020","Residential | Alteration | 1","2209 CEDAR St,
BERKELEY, CA 94709","75000","059
225601700","KARAJEN CONSTRUCTION","19051 CLEMENT DRIVE, CASTRO VALLEY, CA, CA94552","Remodel kitchen & bathroom at 2209 Cedar (1st floor unit); Repair & replace finishes at existing front porch & steps; Update electrical & plumbing; Install new heating system."
"B2020-03305","Building Permit","Issued","11/12/2020","Residential | Alteration | 0","1908 FRANCISCO St,
BERKELEY, CA 94709","0","058
216902300","BERKELEY ELECTRIC INC, DBA AMERICAN ELECTRICAL","909 CAMELIA ST, BERKELEY, CA, CA94710-1419","200 AMP main panel upgrade, 100 AMP sub panel to the right to accomodate  AFCI/GFCI breakers. Rewire by fishing wires Hardwired interconnected smoke detectors as required."
"B2020-03328","Building Permit","Issued","11/16/2020","Commercial | Alteration | 1","2804 SAN PABLO Ave, BERKELEY, CA 94702","1600","053
166100600","M C PLUMBING","210 RANGEWOOD DR, PITTSBURG, CA, CA94565-2491","Installation of hand sink"
"B2020-03333","Building Permit","Issued","11/24/2020","Residential | Alteration | 0","755 EUCLID Ave,
BERKELEY, CA 94708","0","063
296204400","MYERS ELECTRIC","575 BIRCH CT STE A, COLTON, CA, CA92324-3248","Install 2.9 KW PV solar panels (8 modules) on the roof. New 200 AMP subpanel with one (1) Battery & one (1) inverter, to the existing PV solar. Fire Zone 2 Property."
"B2020-03351","Building Permit","Issued","11/24/2020","Residential | Alteration | 0","1 MONTROSE Rd,
BERKELEY, CA 94707","0","062
291401001","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 6.21 KW PV solar panels (18 modules) on the roof with a 13.5 KW Energy Storage System, 200 AMP subpanel & 200 AMP backup gateway. Fire Zone 2 Property."
"B2020-03357","Building Permit","Issued","11/6/2020","Residential | Alteration | 0","5 FOREST Ln, BERKELEY, CA 94708","0","063
296304500","SIMPLY SOLAR INC","1740 CORPORATE CIR, PETALUMA, CA, CA94954","Residential PV solar, flush roof mount, grid tied, battery backup.
16 panels, 5.92 kW. Sloped."
"B2020-03363","Building Permit","Issued","11/13/2020","Residential | Alteration | 0","1518 HEARST Ave,
BERKELEY, CA 94703","24500","057
206802400","LUMENATI ELECTRIC","450 BUENA VISTA DR, PINOLE, CA, CA94564-1604","Interior remodel to (E) kitchen, all interior non- structural, replacement sashes for 5 windows."
"B2020-03363","Building Permit","Issued","11/13/2020","Residential | Alteration | 0","1518 HEARST Ave,
BERKELEY, CA 94703","24500","057
206802400","ALTMANN & ASSOCIATES","6573 SHATTUCK AVE, OAKLAND, CA, CA946091017","Interior remodel to (E) kitchen, all interior non- structural, replacement sashes for 5 windows."
"B2020-03370","Building Permit","Issued","11/5/2020","Residential | Alteration | 0","1343 MCGEE Ave,
BERKELEY, CA 94703","40000","060
243803300","PANCOAST CONSTRUCTION INC.","1319 CARLOTTA AVENUE, BERKELEY, CA, CA94703","Remove and replace existing single pane glass windows in-kind. Replace existing roofing with new asphalt shingles and torch down. Replace existing cedar shingle siding in-kind. Reinforce existing window awnings."
"B2020-03381","Building Permit","Issued","11/9/2020","Residential | Alteration | 1","1018 OXFORD St,
BERKELEY, CA 94707","5500.00","061
258702000","INTRICATE BUILDING AND RESTORATION INC","1266 WIMBLEDON WAY, MANTECA, CA, CA95336-2921","Dry rot repair of garage shed framing.  Fire zone 2"
"B2020-03394","Building Permit","Finaled","11/18/2020","Residential | Alteration | 0","1502 STUART St,
BERKELEY, CA 94703","25000","053
167102100","SETCHKO CONSTRUCTION","PO BOX 5138, RICHMOND, CA, CA94805","Engineered Seismic retrofit. Qualifies for Transfer Tax Rebate."
"B2020-03416","Building Permit","Issued","11/4/2020","Residential | Alteration | 0","33 AVENIDA Dr,
BERKELEY, CA 94708","35224","060
248203200","GVD RENOVATIONS INC","620 COMMERCE DR STE D, ROSEVILLE, CA, CA95678-6425","Install Ascend composite cladding to entire house over existing siding. Fire Zone 2 property"
"B2020-03418 ","Building Permit ","Issued ","11/10/2020 ","Residential | Alteration | 1 ","921 GRIZZLY PEAK Blvd, BERKELEY, CA 94708","30000 ","063 296701600"," "," ","Residential kitchen remodel.  Must Comply with Fire Zone 2 Requirements."
"B2020-03464","Building Permit","Issued","11/16/2020","Residential | Alteration | 0","1 TAMALPAIS Rd,
BERKELEY, CA 94708","0","060
247002800","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 2.64 KW PV solar panels (11 modules) on the roof with a new 13.5 KW Energy Storage System, 200 AMP Backup Gateway & 200 AMP loads panel. Fire Zone 2 Property."
"B2020-03481","Building Permit","Issued","11/10/2020","Residential | Alteration | 0","2811 CHERRY St,
BERKELEY, CA 94705","11262.00","053
169701800","BAY AREA RETROFIT","427 SAN PABLO AVE, ALBANY, CA, CA94706-1124","Voluntary Foundation Strengthening according to CBC Chapter A3. Qualifies for Transfer Tax Rebate."
"B2020-03493","Building Permit","Issued","11/13/2020","Residential | Alteration | 0","1623 FAIRVIEW St 1,
BERKELEY, CA 94703","3000.00","052
154301200","PROPERTY PROS CONSTRUCTION","4061 E CASTRO VALLEY BLVD # 454, CASTRO VALLEY, CA, CA94552-4840","Remove & replace one (1) living room window, same size & location."
"B2020-03511","Building Permit","Finaled","11/12/2020","Residential | Alteration | 0","2212 BLAKE St, BERKELEY, CA 94704","0","055
182901900","AMERICAN AIR CONDITIONING CO","2799 MILLER ST, SAN LEANDRO, CA, CA94577","Run new low pressure gas line to new PG&E meter location for safety reasons."
"B2020-03528","Building Permit","Issued","11/16/2020","Residential | Alteration | 0","2317 VALLEY St,
BERKELEY, CA 94702","0","056
191703000","SUNRUN INSTALLATION SERVICES, INC","225 BUSH STREET STE 1400, SAN FRANCISCO, CA, CA94104","Install 2.76 KW PV solar panels (8 modules) on the roof with a new Energy Storage System, 13.5 KWh Powerwall & 200 AMP Backup Gateway."
"B2020-03531","Building Permit","Issued","11/10/2020","Residential | Alteration | 0","1155 WALNUT St,
BERKELEY, CA 94707","22435.00","061
255803600","BAY AREA RETROFIT","427 SAN PABLO AVE, ALBANY, CA, CA94706-1124","Voluntary Cripple Wall Strengthening/Retrofit. Not for Transfer Tax Rebate.  Property in Fire Zone 2."
"B2020-03571","Building Permit","Issued","11/19/2020","Residential | Alteration | 0","2936 DOMINGO Ave,
BERKELEY, CA 94705","0","064
423500501","Z M ELECTRIC","30 RICHIE DR, PLEASANT HILL, CA, CA94523","Replace 100A sub panel, add plugs and lights."
"B2020-03581","Building Permit","Issued","11/10/2020","Residential | Alteration | 0","1545 ADDISON St,
BERKELEY, CA 94703","37000","056
200303700","KITCHEN FANTASTIC","7 E AIRWAY BLVD, LIVERMORE, CA, CA94551-7622","Kitchen remodel. Remove & replace sink and range hood. Upgrade subpanel & electrical."
"B2020-03582","Building Permit","Issued","11/19/2020","Residential | Alteration | 1","2121 BLAKE St 1,
BERKELEY, CA 94704","28500.00","055
182300901","","","Add non-bearing partition wall in the living room. Remodel kitchen & bathroom.  Replace 2 windows and 1 sliding glass door with a window."
"B2020-03587","Building Permit","Issued","11/10/2020","Residential | Alteration | 0","1935 CEDAR St,
BERKELEY, CA 94709","11500","059
226701900","DUVAL CONSTRUCTION INC","8642 TERRACE DRIVE, EL CERRITO, CA, CA94530","Remove brick chimney from attic floor down to top of concrete pad in crawl space. Re-frame and restore interior to match adjacent finishes. Add two new outlets."
"B2020-03595","Building Permit","Finaled","11/3/2020","Residential | Alteration | 0","2136 CURTIS St,
BERKELEY, CA 94702","5500.00","056
198501300","","","Remove & remove seven (7) windows, same sizes & locations."
"B2020-03603","Building Permit","Finaled","11/2/2020","Residential | Alteration | 0","511 SANTA BARBARA Rd, BERKELEY, CA 94707","0","062
294004400","HOT WATTS TECHNOLOGY","2346 MONO AVE, EL CERRITO, CA, CA94530-1646","Upgrade Main Service Panel to 200 AMPs & relocate some 2-pole loads to the new main panel. Fire Zone 2 Property."
"B2020-03606","Building Permit","Issued","11/16/2020","Residential | Alteration | 0","2922 OTIS St, BERKELEY, CA 94703","20137.00","053
159901000","HOME DEPOT USA INC.","2455 PACES FERRY ROAD C-11, ATLANTA, GA, GA30339","Remove & replace twenty-one (21) windows, same sizes & locations."
"B2020-03615","Building Permit","Issued","11/10/2020","Residential | Alteration | 1","2715 BELROSE Ave,
BERKELEY, CA 94705","10000","054
170207600","ARBUTUS CONSTRUCTION INC","14444 WICKS BLVD, SAN LEANDRO, CA, CA94577-6712","Excavation shoring plans to satisfy NOV - See B2020-01545 for main permit."
"B2020-03617","Building Permit","Issued","11/20/2020","Residential | Demolition | 1","2148 WARD St, BERKELEY, CA 94705","3000.00","054
172002900","GREEN LIVING BUILDERS LLC","833 BANCOFT WAY, BERKELEY, CA, CA94710","Demolish 388 SqFt detached shed."
"B2020-03622","Building Permit","Issued","11/20/2020","Residential | Alteration | 1","759 CRAGMONT Ave,
BERKELEY, CA 94708","26500","063
296002700","STYLE & STRUCTURE INC","3478 BUSKIRK AVE STE 1000, PLEASANT HILL, CA, CA94523-4378","Demo and haul away unpermitted sunroom
* REPLACE OPENINGS TO SUNROOM BY WINDOWS PER PLAN
*NO STRUCTURAL CHANGES ARE PROPOSED.
Fire zone 2"
"B2020-03623","Building Permit","Issued","11/24/2020","Residential | Alteration | 0","1711 SIXTH St, BERKELEY, CA 94710","38400.00","058
211902900","CUSTOM EXTERIORS","2142 RHEEM DR #E, PLEASANTON, CA, CA94566","Replace 2912 SqFt of wood siding with Hardie siding like for like."
"B2020-03630","Building Permit","Issued","11/3/2020","Residential | Alteration | 0","1241 CARRISON St,
BERKELEY, CA 94702","30000","053
162701000","JIM GARDNER CONSTRUCTION INC","3871 PIEDMONT AVE STE 13, PIEDMONT, CA, CA946115378","Replace perimeter foundation and interior footings. Seismic strengthening for transfer tax rebate."
"B2020-03631","Building Permit","Finaled","11/5/2020","Residential | Alteration | 0","2131 RUSSELL St,
BERKELEY, CA 94705","12420","053
168601200","BECK ROOFING COMPANY","PO BOX 234, HAYWARD, CA, CA94543","T/O all roofing, install B.U.R. (#28 base felt, 3 plies type -4 glass ply sheet, hot asphalt, gray # 72 mineral cap sheet). 13 squares. Class A."
"B2020-03637","Building Permit","Issued","11/9/2020","Residential | Alteration | 0","1140 KEITH Ave,
BERKELEY, CA 94708","0","063
298804000","","","200A panel upgrade and new meter."
"B2020-03642","Building Permit","Finaled","11/17/2020","Residential | Alteration | 0","955 FRESNO Ave,
BERKELEY, CA 94707","10000","061
260302300","ECOSTEP INC","160 SHADY LN, WALNUT CREEK, CA, CA94597-3207","Remodel (E) bedroom to create new closet and new storage space."
"B2020-03654","Building Permit","Issued","11/23/2020","Residential | Alteration | 0","2342 HILGARD Ave,
BERKELEY, CA 94709","0","058
218702700","PRADEEP KUMAR HANDYMAN SERVICE","6408 CLAREMONT AVE, RICHMOND, CA, CA94805","Water Heater Replacement"
"B2020-03658","Building Permit","Finaled","11/4/2020","Residential | Alteration | 0","2210 BLAKE St, BERKELEY, CA 94704","0","055
182901801","AMERICAN AIR CONDITIONING CO","2799 MILLER ST, SAN LEANDRO, CA, CA94577","Run new low pressure gas line to new PG&E meter location for safety reasons."
"B2020-03659","Building Permit","Issued","11/16/2020","Residential | Demolition | 1","1611 CHESTNUT St,
BERKELEY, CA 94702","5000.00","058
213801100","HOME HEALING RENOVATIONS","702 HARRISON ST STE 8, BERKELEY, CA, CA94710-1358","Demolish existing 240 SqFt detached garage. (See Permit B2020-03419 for new accessory structure.)"
"B2020-03661","Building Permit","Issued","11/9/2020","Residential | Addition/Alteration
| 0","230 HILLCREST Rd,
BERKELEY, CA 94705","0","064
425205600","PJ ERWIN ELECTRIC","3247 SYLVAN AVE, OAKLAND, CA, CA94602-3957","replace existing 100amp panel with new 200AMP panel"
"B2020-03662","Building Permit","Issued","11/5/2020","Mixed Use | Alteration | 0","1821 WOOLSEY St,
BERKELEY, CA 94703","14000","052
155001300","","","Residential re-roof"
"B2020-03678","Building Permit","Finaled","11/30/2020","Residential | Alteration | 0","1340 M L KING JR Way, BERKELEY, CA 94709","0","060
244701400","PURE ELECTRIC LLC","PO BOX 1510, DISCOVERY BAY, CA, CA94505-7510","Install whole house fan in attic, hard wired, subject to field inspection."
"B2020-03685","Building Permit","Issued","11/19/2020","Residential | Alteration | 0","1062 WOODSIDE Rd,
BERKELEY, CA 94708","0","063
314004202","REGAL SOLAR ELECTRIC INC","5020 PACHECO BLVD, MARTINEZ, CA, CA94553-4327","Install 5.84 KW PV solar panels (16 modules) on the roof with a 9.8 KW Energy Storage System, 200 AMP backup loads panel & new inverter. Fire Zone 2 Property."
"B2020-03687","Building Permit","Issued","11/23/2020","Residential | Alteration | 0","1147 CAMELIA St,
BERKELEY, CA 94702","0","060
240201600","GLOVER FAMILY ELECTRIC INC","25613 DOLLAR ST STE 3, HAYWARD, CA, CA94544-2535","Ground and Bond existing 200 amp panel."
"B2020-03690","Building Permit","Issued","11/23/2020","Commercial | Alteration | 0","1803 SIXTH St, BERKELEY, CA 94710","0","057
209500101","J G SCHULTE ELECTRIC","15 BURNHAM ST APT 5, VALLEJO, CA, CA94590-3768","Remove old site lighting flood lights and install LED flood lights in six (6) locations on roof. Wiring to be installed in conduit."
"B2020-03691","Building Permit","Issued","11/2/2020","Residential | Alteration | 0","2559 LE CONTE Ave, BERKELEY, CA 94709","0","058
219800700","COMPLETE PROPERTY DEVELOPMENT","2625 ALCATRAZ AVE, BERKELEY, CA, CA94705-2702","Change out Federal Pacific panels to Murray panels."
"B2020-03692","Building Permit","Issued","11/30/2020","Residential | Alteration | 0","1317 SPRUCE St,
BERKELEY, CA 94709","10000","060
246201600","","","Replace old failing balcony off rear of house, and restore demolished stairs with spiral stair down to back yard.  Property in Fire Zone 2."
"B2020-03698","Building Permit","Finaled","11/10/2020","Residential | Alteration | 0","2429 EIGHTH St,
BERKELEY, CA 94710","0","056
193602500","MENDEZ ELECTRIC","985 KAROL WAY, SAN LEANDRO, CA, CA94577-3724","Replace electrical wiring of both rental units and replace service main panel along with 1 subpanel for each unit."
"B2020-03701","Building Permit","Issued","11/9/2020","Residential | Alteration | 0","785 PERALTA Ave,
BERKELEY, CA 94707","4439.46","062
287501400","TRANSFORM SR HOME IMPROVEMENT PRODUCTS LLC","PO BOX 522290, LONGWOOD, FL, FL32752-2290","Remove & replace front door (entry door), same size & location."
"B2020-03705","Building Permit","Issued","11/16/2020","Residential | Alteration | 0","1622 MILVIA St 1,
BERKELEY, CA 94709","7535","058
217200800","HOME DEPOT USA INC.","2455 PACES FERRY ROAD C-11, ATLANTA, GA, GA30339","Replace 3 windows & 2 patio doors, like for like, same location"
"B2020-03707","Building Permit","Issued","11/10/2020","Residential | Alteration | 0","1509 HOLLY St, BERKELEY, CA 94703","3550","059
228404200","","","Like for like repair to sheating  & sill plate. Remove and replace stucco per item 10 Omega pest report 98759."
