Name,Status,Type,Location,Description,Funding Source,Project Team,Project Team Info,Center
FY 2017 Surface Seals Project ,Completed,Street,"Various streets throughout Berkeley including 8th, Berryman, Campus, Cragmont, Delaware, Parker, Sonoma, The Alameda, The Circle, Vincente, and Woolsey were resurfaced with a slurry seal or rubberized cape seal.",At least 10 streets were sealed in FY 2017 using funding from Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
FY 2018 Street Rehabilitation Project ,Completed,Street,"This rehabilitation project serviced these Berkeley streets: Cornell, Folger, Henry, Hilgard, Jones, Josephine, Modoc, Murray, Page, Poe, Prince, Rugby, Vermont. The project was funded by Measure M.","This project will resurface approximately 1.7 miles of City streets and repair or replace curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage and striping.","['Measure M', 'Measure B & BB']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
FY 2019 Street Rehabilitation and Surface Seal Project ,Completed,Street,"The Berkeley streets service were located at: 5th, 6th, Bonar, Burnett, Byron, Carleton, Catalina, Delaware, Derby, Dwight Crescent, Highland Place, Lincoln, Ridge and Station Place. This project was funded by Measure M,local Transportation dollars including Measures B & BB Sales Tax, and SB1 Transportation Tax funds.","This project will resurface approximately 2.3 miles of City streets, and consists of pavement rehabilitation and surface seal. In addition to street pavement, the project incorporates many other improvements as part of a “complete street” approach that repairs or replaces street infrastructure such as curb ramps, curbs, sidewalks, drainage inlets and pipes, gutters, street signage, and striping.","['Measure M', 'State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
George Florence Park Play Structure Replacement and Site Improvements,Completed,Park,"2121 Tenth Street, Berkeley, CA 94710","This is aMeasure T1Phase 1 project. Constructed in 1979, this neighborhood park was originally called the Tenth Street/Addison Park, and was officially named after the former owner of the site, George Florence. George Florence Park includes tot- and school‐age play areas, an open lawn and a pollinator garden maintained by community volunteers. Improvements included: renovation and expansion of the tot playground and school-age playgrounds, lawn and landscaping improvements, and related accessibility improvements.",['Measure T1'],['Evelyn Chan'],"[['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Grove Park Field and Playground Improvements,Completed,Park,"1730 Oregon Street, Berkeley, CA 94703","This is aMeasure T1Phase 1 and Phase 2 project. This is Phase 2 of improvements planned to the park. Phase 1 improvements included reconstruction of the tennis courts, and renovation of the basketball courts and public restroom, completed in 2017. Proposed Phase 2 improvements include: renovation of turf and infield area; landscaping and irrigation improvements; netting and fence improvements; the demolition and reconstruction of the Age 2-5 playground and Age 5-12 playground; accessibility improvements throughout the project site; renovation of the picnic area; drainage improvements; and various other related site improvements. Construction contract is scheduled for council approval on January 31, 2023 with anticipated construction this Spring 2023.","['Measure T1', 'Measure F']","['Wendy Wellbrock', 'Evelyn Chan']","[['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Harrison Park Restroom Renovation,Design,Park,"1100 Fourth Street, Berkeley, CA 94710","This is aMeasure T1Phase 2 project. Harrison Park contains two lighted playing fields for rugby, soccer, lacrosse, and other field sports, a skate park, and a field house with a meeting room and restroom. Proposed improvements include the renovation of the existing public restroom and related accessibility improvements. The design consultant has been contracted to begin conceptual design. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to Harrison Park Improvements email list” and provide your preferred contact information.",['Measure T1'],['Evelyn Chan'],"[['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Hopkins Corridor Traffic and Placemaking Study,Design,Transportation,"Hopkins Corridor, North Berkeley","The Hopkins Corridor Traffic and Placemaking Study is a ""conceptual design"" study, with the primary focus centered around community outreach. Through this study, the City of Berkeley will be collecting placemaking and street design ideas directly from the North Berkeley residents, businesses, employees, and other key stakeholders who frequent this unique and joyful corner of Berkeley. This study is specifically catered to take a holistic approach to ""Complete Streets"" design, by garnering public feedback through multiple online workshops and working closely with residents and visitors in order to better understand their specific needs, the end result being the delivery of a final conceptual design and preferred set of options for traffic and placemaking improvements along the Hopkins Corridor.The impetus for the study was a Budget Referral approved by the Berkeley City Council in 2018. Hopkins Street is safe and accessible for all modes of transportation and has a historic character that provides lovely, joyful public spaces for residents, businesses, and visitors.",[],['Noah Budnick'],"[['Noah Budnick', 'Senior Management Analyst', 'NBudnick@cityofberkeley.info']]",[]
James Kenney Park Skate Spot,Planning,Park,1720 Eighth Street,"The James Kenney Skate Spot Project may bring another official skate spot to the City of Berkeley which currently only has two official skate spots. There is currently one skate spot at MLK Jr. Civic Center Park geared toward more intermediate users, and a skate park at Harrison Park which has more advanced features. The goal of this potential skate spot is to utilize a currently underused space in the existing park to provide appropriate-sized skate features that can be used by skaters to learn and develop their skills. Anticipated improvements related to the skate area include grading, drainage, fencing, and accessibility improvements. This project is currently in the beginning planning phase. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the James Kenney Park – Potential Skate Spot Park Improvements email list” and provide your preferred contact information.",['Measure F'],"['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
"James Kenney Park, Picnic, and Play Area Renovation Project",Planning,Park,1720 Eighth Street,"The project included the renovation of the picnic and playground area, replacement of the play equipment, and improvements to other site amenities in conformance with current ADA standards. This project followed improvements to the sports courts and seismic renovation of the community center. Additional sidewalk was also added along Eighth Street to connect Virginia and Delaware Street, and the previous tot lot was reconstructed as a more open space area.","['Measure WW', 'Measure F']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
John Hinkel Park Hut ,Completed,Facility,41 San Diego Road,"John Hinkel Park Hut is a facility that was moved to John Hinkel Park by the Boy Scouts in 1938. It is located in the upper portion of the Park and accessed from San Diego Road. The facility is in need of repair and renovation to bring the building up to today’s standards and provide accessibility to the building. On November 16, 2022, the City held a community meeting to discuss the project and gather input on the potential renovation of the facility. Studies of the facility and surrounding area are being conducted and conceptual designs for the facility are in progress. The conceptual designs can be used to seek opportunities for funding and grants to develop the design and complete construction. To be included in future correspondence and notifications of project meetings or status, please contact the project team with subject “Please add me to John Hinkel Park Hut email list” and provide your preferred contact information.",['Measure F'],['Isaac Carnegie'],"[['Isaac Carnegie', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront']]",[]
John Hinkel Park Renovation Project,Planning,Park,"41 San Diego Road, Berkeley, CA 94707","This is aMeasure T1Phase 2 project. John Hinkel Park was designated as a historic landmark by the Landmarks Preservation Commission in April 2001. Historic elements include the stone masonry around the amphitheater area, fireplace, and seating areas. The playground area which was located on the hillside of the park has deteriorated and is inaccessible by today’s accessibility standards. This project relocated a new playground to the lower amphitheater area, includes a new picnic area, and repairs and restores a portion of the historic masonry work around the site and the amphitheater area, including various improvements to the site in conformance with current ADA standards. Construction has been completed and park is open for public use. Project is currently in close-out phase to complete minor punch list items. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the John Hinkel Park neighborhood email list” and provide your preferred contact information.","['Measure F', 'Measure T1']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Jordan Court,Completed,Affordable Housing,1601 Oxford Street,"Jordan Court is a housing community of 35 affordable studio units for seniors in the heart of North Berkeley. Residents will enjoy on-site amenities such as a community room, a courtyard with seating and adjacent laundry room, and upper floor terraces and lounge. Jordan Court was developed in partnership with All Souls Episcopal Parish, and includes administrative and residential space for the church.","['Measure O', 'Housing Trust Fund']","['Jenny Wyant', 'Satellite Affordable Housing Associates']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Satellite Affordable Housing Associates', '(510) 647-0700']]",[]
K Dock Restroom Renovation,Completed,Other Infrastructure,"K-Dock, Berkeley Marina","This is aMeasure T1Phase 2 project. The restroom at K-Dock is a highly used and conveniently located public restroom at the hub of the Marina. It serves Marina Office visitors, slip holders and dock users accessing the charter fishing and small-scale ferry boats at the popular K-Dock particularly during fishing season. This project will enhance security, improve the interior space of the restroom with new energy and water efficient fixtures while meeting the latest American with Disability Act (ADA) standards. Exterior of the building will be renovated in-kind. The renovated restroom will make people more likely to feel comfortable visiting K-Dock and other nearby attractions at the Marina. This project is currently in the pre-design phase.",['Measure T1'],"['Robert Chan', 'Nelson Lam']","[['Robert Chan', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront'], ['Nelson Lam', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
King Pool Tile and Plaster Replacement Project,Planning,Facility,1700 Hopkins St,"This is aMeasure T1Phase 2 project. King Pool was last plastered 13 years ago, and the surfacing had exceeded its useful life. The improvements include new pool plaster surface, waterline and imbedded tile, suction outlet covers, pool filter media, chemical controller updates, pool shell plumbing modification, and bathroom fixture modernization.The baseline scope has been substantially completed, and the pool has re-opened for public use. A change order will complete electrical controller work at the pool in the Spring of 2023.",['Measure T1'],"['Justin Pitcher ', 'Bruce Pratt']","[['Justin Pitcher ', 'Recreation Program Supervisor', 'Parks, Recreation & Waterfront'], ['Bruce Pratt', 'Parks Superintendent', 'Parks, Recreation & Waterfront']]",[]
King School Park Play Area Renovation Project,Construction,Park,"1700 Hopkins Street, Berkeley, CA 94707","A giant eucalyptus tree toppled during the night of February 26, 2019, crushing and destroying the tot playground used by children age 2-5. Several site elements around the tot-lot were also damaged or destroyed. The King School Park Project included the replacement of the age 2-5 playground, added a new age 5-12 play element dubbed the “DNA Tower” where the eucalyptus tree once stood, and included various other accessibility and site improvements to the park, including the installation of new trees back to the park. Work was completed in November 2021 in coordination with the Berkeley Unified School District.",['Measure F'],"['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]","[37.88276842764381, -122.27867850660195]"
Live Oak Community Center Renovation and Seismic Upgrade ,Completed,Facility,"Live Oak Community Center, located at 1301 Shattuck Ave.","This is a Measure T1Phase 1 project. The Live Oak Community Center was identified as a care and shelter facility for the City of Berkeley as part of the City’s goals for Disaster Preparedness and to become a more resilient city. A seismic structural upgrade was necessary in order to prevent major damage to the building, to achieve an “immediate occupancy” rating in the event of an earthquake or other major disaster. Other upgrades for energy efficiency and sustainability were included to come closer to meeting the City’s climate action plan and resiliency goals. The project also included necessary upgrades to increase accessibility at the site to meet new and current building codes.","['Measure T1', 'Measure F']","['Isaac Carnegie', 'Evelyn Chan']","[['Isaac Carnegie', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Marina Corporation Yard Electrical Upgrade,Completed,Facility,"Berkeley Marina Corporation Yard, next to 201 University Ave","This is aMeasure T1 Phase 1 project. The Berkeley Marina is a popular destination for community members and tourists to enjoy. The Marina Corporation Yard houses maintenance staff and equipment to service over 100 acres of park space, seven miles of trails, picnic areas, and City facilities at the Berkeley Marina. This project includes much-needed upgrades to its electrical distribution system at the Marina Corporation Yard Maintenance Building.",['Measure T1'],['Titus Chen'],"[['Titus Chen', 'Assistant Civil Engineer', 'Public Works']]",[]
Maudelle Miller Shirek Community,Completed,Affordable Housing,2001 Ashby Avenue,"Maudelle Miller Shirek Community is an affordable rental community under construction. Construction started in February 2022 and we anticipate completing it in Spring 2024. Maudelle Miller Shirek Community is centrally located across the street from the Ashby BART station. This transit-rich mixed-use community is close to shopping, schools, dining, and jobs, which will provide 87 apartments consisting of 18 studios, 21 one-bedrooms, 26 2-bedrooms, and 22 3-bedrooms.","['Measure O', 'State Local Housing Trust Fund', 'Measure U1']","['Jenny Wyant', 'Resources for Community Development']","[['Jenny Wyant', 'Senior Community Development Project Coordinator', 'Health, Housing, and Community Services'], ['Resources for Community Development', '(510) 841-4410', '']]",[]
Milvia Permeable Pavers ,Construction,Storm,"At the intersection of Eunice and Milvia, Milvia and Hopkins",This project combined permeable pavers and a cistern to filter and store storm water from approximately 9 acres. The installation of permeable pavement and infiltration planter wells remove litter and sediment at the intersection of Hopkins Street and Milvia Street. The soil and plants provide bio-remediation of storm water before runoff enters Codornices Creek. This project was funded by Measure M.,['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]","[37.886157044869286, -122.27316021854382]"
Milvia Street Bikeway Improvements Project,Completed,Transportation,"The project covers 12 contiguous blocks of Milvia Street, from Hearst Avenue to the north to Blake Street to the south.","Objectives of the project are to: The project plans include a Class IV protected bikeway with separation from motor traffic by way of a vertical element, intersection treatments and traffic calming features, and elimination of the slip lane at Milvia and Center Street. Initial funding for conceptual design and environmental review has been provided by a grant from the Alameda County Transportation Commission (Alameda CTC). Funding for detailed engineering design and construction has been provided by a grant from the State of California Affordable Housing and Sustainable Communities (AHSC) program. Berkeley has the highest rate of bicycling to work in the United States among cities with over 100,000 residents, and Milvia is the City’s primary north-south bikeway. In recent years, there's been a significant rise in bicycle activity in Downtown Berkeley, particularly along Milvia Street. At last count, over 500 people on bicycles pass through the intersection of Milvia and Channing during the 2-hour PM peak period alone. During the same period, over 400 pass through the Intersection of Milvia and Hearst. While the high volume of use is encouraging, there has also been a high volume of collisions. According to analysis completed for the City Bicycle Plan 2017, Milvia Street had the highest number of total collisions between 2001 and 2012, which suggests that design changes should be evaluated to better accommodate the mix of roadway users along this downtown Bicycle Boulevard. The National Association of City Transportation Officials (NACTO) recommends vehicle volumes lower than 1,500 per day to provide a comfortable bicycling environment for children, families, and others who feel unsafe riding in traffic. A number of City plans and policies have highlighted the stretch of Milvia Street in Downtown Berkeley as a high priority area for bicycle facility improvements. The Strategic Plan (2018), Bicycle Plan (2017), and Strategic Transportation Plan (2016) recommend replacing the existing segments of Class III bicycle shared-roadway markings and Class II bicycle lanes on Milvia between Hearst Avenue and Blake Street with a Class IV protected bikeway (also known as a cycle track). Similarly, the Streets and Open Space Improvement Plan (2012) and Downtown Area Plan (2012) recommend establishing a continuous bicycle lane and traffic calming on Milvia through downtown.","['Measure B & BB', 'Affordable Housing and Sustainable Communities (AHSC)']",['Kenneth Jung'],"[['Kenneth Jung', 'Supervising Civil Engineer', 'kjung@cityofberkeley.info']]",[]
MLK Jr. Youth Services Center/Y.A.P. Seismic Retrofit and Renovation ,Completed,Facility,"1730 Oregon Street, Berkeley, CA 94703","This is aMeasure T1 Phase 2 project. Located next to Grove Park, the Martin Luther King Jr. Youth Services Center/Young Adult Project (Y.A.P.) houses various afterschool and summer recreation programs such as tutoring, violence prevention, and leadership development for teens and young adults. The MLK Jr. Youth Services Center/Y.A.P. has been designated as one of the City's care and shelter facilities identified in the City's Resilience Strategy.The primary objective of this project is a seismic retrofit of this 1950s building, as well as various interior and exterior upgrades in order to create a more modern and flexible recreation center that is safe and accessible to the community it serves.The project is currently in the conceptual design phase, and the consultant is preparing the application for a Zoning Permit. Community meetings were held on March 31, 2022 and May 26, 2022 to gather feedback. An update to the project and conceptual designs can be viewed under the Documents section below. After reviewing the presentation, please fill out an online questionnaire about this project. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to MLK Jr. Youth Services Center/Y.A.P. Improvements email list” and provide your preferred contact information.",['Measure T1'],"['Wendy Wellbrock', 'Evelyn Chan']","[['Wendy Wellbrock', 'Associate Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Ninth Street Bicycle Boulevard Pathway Extension Phase II ,Planning,Transportation,"Phase II will construct the last two sections of new shared-use pathway on City-owned property; one section from the end of Ninth Street just south of the intersection with Heinz Avenue to Ashby Avenue, and the other section between Ashby Avenue and Murray Street.","Supported by the City’s Bicycle Master Plan, adopted by Council in April 2017, the Project will close the last gap in this important north-south urban bicycle corridor, which serves many biking and walking trips by residents, employees, and retail customers in the Project’s immediate vicinity. Construction began in March 2020 and is anticipated to be complete in Fall 2021. Phase I, completed in 2012, created a 0.1-mile, two-block section of Class 1 pathway from Murray Street to the Emeryville Greenway. Bicycle and pedestrian access from the Phase I pathway to the Ninth Street Bicycle Boulevard, is currently provided by a temporary Class 3 bicycle route on another section of Ninth Street that is separate from the main Ninth Street Bicycle Boulevard. A Class 3 bike route is a street designated for bicycle travel and shared with motor vehicles. This temporary route was constructed along Ninth Street between Anthony Street and Murray Street and on private property belonging to Berkeley Bowl West through a temporary easement, which was part of the provisions in their development agreement with the City. This Class 3 facility does not provide adequate bicycle and pedestrian access because it requires a longer, non-linear route and requires bicyclists to share a relatively narrow and congested road with motor vehicles. Phase II completes the pathway connection between West Berkeley and Emeryville by providing a safer, more direct, and continuous off-street route and intersection crossing, as opposed to the current temporary route. Phase II will construct the last two sections of new shared-use pathway on City-owned property; one section from the end of Ninth Street just south of the intersection with Heinz Avenue to Ashby Avenue, and the other section between Ashby Avenue and Murray Street. Phase II will also construct signal and intersection improvements near the intersection of Ninth Street and Ashby Avenue, where the pathway will cross Ashby Avenue.","['Measure B & BB', 'Active Transportation Program']",['Kenneth Jung'],"[['Kenneth Jung', 'Associate Civil Engineer']]",[]
North Berkeley Senior Center,Completed,Facility,1901 Hearst St,"This is a Measure T1 Phase 1 Project. The North Berkeley Senior Center (NBSC) houses a dynamic community offering a variety of activities, classes, and services for seniors. The renovations and seismic upgrade project will modernize the interior and provide much needed upgrades to improve the safety and functionality of the building, including seismic for “care and shelter” requirements as well as ADA compliance. The project includes seismic retrofit of the building, deferred maintenance upgrades, and programming improvements. The center will serve as a Care and Shelter facility during emergencies.","['Measure T1', 'Federal Emergency Management Agency Grant']",['Elmar Kapfer'],"[['Elmar Kapfer', 'Supervising Civil Engineer ', 'Public Works']]",[]
Ohlone Greenway Safety Improvements Project,Construction,Transportation,"This project will make improvements to the Ohlone Greenway multi-use pathway, from Virginia Gardens to the south to Santa Fe Avenue to the north. It includes the following intersections: Virginia Gardens, Cedar Street, Rose Street, Hopkins Street, Peralta Avenue, Gilman Street, and Santa Fe Avenue.","The goals of the Ohlone Greenway Safety Improvements Project are to upgrade a portion of the existing multi-use pathway, from Virginia Gardens to the south to Santa Fe Avenue to the north. The upgrades aim to better accommodate the needs of all users and improve safety, especially at roadway intersections and at night. Upgrades will focus on the following: For more information on this project, including links to public meetings and surveys, please visit the project website.","['Vehicle Registration Fee (VRF)', 'Measure B & BB']",['Ken Jung'],"[['Ken Jung', 'Project Manager', 'Public Works']]","[37.87567418270633, -122.2868287942862]"
Ohlone Park (East) Playground Replacement and Site Improvements,Planning,Park,"1900 Block of Hearst Avenue, between Bonita Street and Milvia Street, Berkeley, CA 94704","This is a Measure T1 Phase 2 project. Improvements include the replacement of the age 2-5 playground and age 5-12 playground; new pollinator garden with native plantings; installation of new art works facilitated by the City of Berkeley Civic Arts Program; accessibility improvements throughout the site; activity area; landscaping and irrigation improvements; drainage improvements; and various other site improvements. This project is currently in the construction phase. The low bid was approved by Council on December 13, 2022. Construction is anticipated to break ground in February 2023 and a ribbon-cutting in Fall 2023. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the Ohlone Park Improvements email list” and provide your preferred contact information.","['Measure T1', 'Measure F']","['Stacey Rutherford', 'Evelyn Chan']","[['Stacey Rutherford', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront'], ['Evelyn Chan', 'Supervising Civil Engineer', 'Parks, Recreation & Waterfront']]",[]
Ohlone Park Restroom and Lighting Improvements,Construction,Park,"1500-1900 Blocks of Hearst Avenue, between Sacramento Street and Milvia Street","This is a Measure T1 Phase 2 project. Proposed improvements include lighting improvements, installation of a permanent restroom, and various site related improvements. A conceptual plan was presented at a public meeting in November 2022, and public feedback will be incorporated into a preferred conceptual design. To be included in future correspondence and notifications of project meetings or status, please contact the project team, with subject “Please add me to the Ohlone Park Restroom & Lighting email list” and provide your preferred contact information.",['Measure T1'],['Stacey Rutherford'],"[['Stacey Rutherford', 'Assistant Civil Engineer', 'Parks, Recreation & Waterfront']]","[37.872858442656735, -122.27675454660864]"
Panoramic Hill Rehabilitation Project ,Planning,Street,"The project rehabilitated approximately 1.3 miles of pavement on Panoramic Way, Prospect, Bancroft, Canyon, Mosswood, Arden, Dwight, and Panoramic Place.","The scope also includes drainage, sidewalk, curb and gutter, driveways, curb ramps, retaining walls, signing, and striping. This project was funded by Measure M.","['Measure M', 'State Transportation Tax', 'Measure B & BB', 'Capital Improvement Fund']",['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
Parker-Addison Mobility and Safety Improvements Project,Completed,Transportation,"West Berkeley bounded by University Ave, Acton St, Ward St. and Sixth St.","The Parker-Addison Mobility and Safety Improvements Project was created as a result of the Council approvedBerkeley Bicycle Plan(2017) and Pedestrian Plan (2020) which identify and recommend infrastructure improvements to ensure all modes of transportation are safe, comfortable, and convenient for people of all ages and abilities. The primary goals of the project involve expanding the City’s interconnected network of bikeways, and connecting neighborhoods in the disadvantaged West Berkeley area to the North Berkeley BART rail station by way of a shared bikeway connection to the existing West Street Pathway. The new improvements will also connect West Berkeley with San Pablo Park and other green spaces. The general scope of the project involves installation of bike boulevard infrastructure consisting of striping, pavement markings, and wayfinding signage along the length of the corridor. The Parker Addison Mobility and Safety Improvements project also includes new traffic circle construction, Rectangular Rapid Flashing Beacons (RRFBs), traffic calming, sidewalk, curb ramp construction, and striping. The project will also widen the existing ramp walkway located at the north end of the Strawberry Creek Park basketball courts, as well as two adjacent curb ramps located at both ends of the West Street cul-de-sac. Speed tables will be installed on Bonar Street, from Addison Street to Allston Way, as a result of a community-initiated traffic calming study performed by the Traffic Engineering Department. The Parker-Addison Mobility and Safety Improvements project will provide one continuous bikeway network connecting West Berkeley to San Pablo Park, the North Berkeley BART station, and other key areas throughout Berkeley. Furthermore, the new bike boulevard on Parker Street will connect residents to the industrial and commercial areas of West Berkeley as well as to the existing Channing Way Bike Boulevard, Downtown Berkeley, the UC Berkeley campus, and other existing and proposed north-south Bicycle Boulevards, including several schools, parks and residential areas. Questions or comments? Please contact the project manager, Ian Bronswick, Associate Civil Engineer, ibronswick@cityofberkeley.info. The Parker-Addison Mobility and Safety Improvements Project is related to the State of California Affordable Housing and Sustainable Communities (AHSC) grant funded project, “Improvements Related to 2527 San Pablo Avenue, The Blake Apartments”. The project received a total of $1,420,302 in grant funding to construct sustainable transportation infrastructure (STI) and transit related amenities (TRA) improvements within the identified project area, of which $870,000 is allocated to cover design and construction costs focused around the Parker-Addison Mobility and Safety Improvements Project. The City will fund the remaining project costs using Measure BB (Bike/Pedestrian) funds.  The remaining grant funding is allocated towards TRA improvements currently in design under a separate project, involving construction of bus bulbs, bus pads, and new shelters containing bench seating, solar-powered lighting, and other transportation improvements located at the intersections of University Ave. / Acton St., and University Ave. / Bonar St.","['Measure B & BB', 'Affordable Housing and Sustainable Communities (AHSC)']",['Ian Bronswick'],"[['Ian Bronswick', 'Associate Civil Engineer', 'Public Works']]",[]
Pathway Repairs and Improvements,Design,Sidewalk,Various Locations,"This is a Measure T1 Phase 2 project. This project will improve the citywide network of pedestrian paths. Construction is approximately 75% complete. Work has been performed at: Florida Walk, Fountain Walk, La Vereda Steps/Virginia Steps, Vincente Path, and new signage at numerous locations. Additional work in 2023 is pending at the following locations: Upper Columbia Path, Tunbridge Lane, Visalia Walk.","['Measure T1', 'Capital Improvement Fund', 'General Fund']",['Terrence Salonga '],"[['Terrence Salonga ', 'Associate Civil Engineer ', 'Public Works']]",[]
Presentation Park Rain Garden ,Construction,Park,Allston Way at Strawberry Creek,"A rain garden in Presentation Park collects, cleans and infiltrates storm water runoff from Allston Way before it enters Strawberry Creek. This project was funded by Measure M.",['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]","[37.867037468307366, -122.28638865735304]"
Public Safety Building Improvements,Completed,Facility,2100 MLK Jr. Way,"This is aMeasure T1 Phase 1 project. The Ronald T. Tsukamoto Public Safety Building is the headquarters for the City of Berkeley’s Fire and Police Departments. The building also includes a detention center, the City’s Public Safety Communications Center, staff locker rooms and gym, and a shooting range. This project includes feasibility and cost assessment to install back-up cooling units for the IT server room.",['Measure T1'],['Nick Cartagena'],"[['Nick Cartagena', 'Associate Civil Engineer', 'Public Works']]",[]
Rain Garden at Vine and Spruce ,Design,Storm,Vine Street and Spruce Street,"Storm water runoff from Vine Street is captured in an inlet and routed into a planted bio retention area (rain garden) inside the traffic circle. This area reduces water volume on the street by holding the water temporarily, allowing it to infiltrate slowly through the vegetation and porous soil and recharge groundwater. This project was funded by Measure M.",['Measure M'],['Public Works Engineering Division'],"[['Public Works Engineering Division', 'Public Works', '(510) 981-6300']]",[]
Redesigning Adeline Street at Ashby BART,Completed,Transportation,The Adeline Street at Ashby BART project will reconfigure Adeline Street and create a public plaza on the west side of Adeline Street all the way between Ashby Avenue and Martin Luther King Jr. Way.,"The Adeline at Ashby BART project presents an opportunity to transform a street that is currently challenging for pedestrians and people riding bikes, and lacking in usable public space, into a safe and welcoming street.  The project builds on the Adeline Corridor Specific Plan effort and responds to a City Council referral to analyze the potential for a redesign of part of Adeline Street in order to increase safety for pedestrians, cyclists, and people living with disabilities, while also meeting the needs of public transit and emergency vehicles. The study is evaluating a “road diet” that reduces the width of Adeline Street adjacent to the Ashby BART station from the current four traffic lanes to two lanes.  The study will develop and evaluate conceptual design options that work toward achieving project goals and priorities, including accommodating the Berkeley Flea Market. Project Meeting Schedule October 3, 2022: Community Meeting October 20, 2022: Transportation & Infrastructure Commission Meeting November 2022: City Council consideration and potential adoption of design concept","['Measure B & BB', 'Federal Transit Administration Transit Oriented Development Pilot Program']","['Beth Thomas', 'Dianne Yee']","[['Beth Thomas', 'Principal Planner', 'Public Works'], ['Dianne Yee', 'Associate Planner', 'Public Works']]",[]
Replacement of Docks D & E at the Berkeley Marina,Design,Other Infrastructure,Berkeley Marina – Docks D & E,This is aMeasure T1Phase 2 project. The project for the replacement of Docks D & E includes: The project is currently in 60% design including preparation of CEQA and regulatory permitting documents. The City anticipates completing the design and obtaining necessary regulatory and building permits by fall of 2023.,"['Measure T1', 'Department of Boating and Waterways Loan']",['Jesus Espinoza '],"[['Jesus Espinoza ', 'Associate Civil Engineer ', 'Parks, Recreation & Waterfront']]",[]
Replacing Traffic Barriers with Planter Boxes,Design,Street,Various Locations,"This is a Measure T1 Phase 2 project. This project will replace existing traffic barriers, known as bollards, with landscaped planter boxes at locations throughout the City.
 Three sites have been identified for this project: Woolsey/Hillegass, Fulton/Ashby, and Harmon/California. The next step is to start final design.",['Measure T1'],"['Joe Enke', 'Terrence Salonga ']","[['Joe Enke', 'Acting City Engineer ', 'Public Works'], ['Terrence Salonga ', 'Associate Civil Engineer ', 'Public Works']]",[]
