Permit.Number,Permit.Type,Status,Date.Issued,Sub.Type,Property.Address,Valuation,APN,Contractor.s.Name,Contractor.s.Address,Work.Description
B2019-01603,Building Permit,Finaled,4/17/2019,Residential | Alteration | 0,"1240 QUEENS Rd,
BERKELEY, CA 94708",0,"060
248100500",,,Hot water heater replacement
B2019-01605,Building Permit,Issued,4/17/2019,Residential | Alteration | 0,"1630 MCGEE Ave,
BERKELEY, CA 94703",4500,"058
215600100",BAY AREA BUILDERS,"412 WILLIAMS PL, SAN MATEO, CA, CA94401-2420",Removal of rick chimney to interior ceiling-patch roof were removed. And infill firebox permanently so it cannot be used.
B2019-01606,Building Permit,Finaled,4/17/2019,Residential | Alteration | 0,"548 SANTA BARBARA Rd, BERKELEY, CA 94707",0,"062
293601200",PENDERGRAST MASONARY,"24721 MAGNOLIA ST, HAYWARD, CA, CA94544",Install gas fireplace insert (Model LRI6E) with new gasline & electrical. Install venting in existing chimney. Fire Zone 2 Property.
B2019-01607,Building Permit,Issued,4/18/2019,Residential | Alteration | 0,"141 PARKSIDE Dr,
BERKELEY, CA 94705",0,"064
424401100",,,Upgrade electrical main service to 200A
B2019-01608,Building Permit,Issued,4/19/2019,Residential | Alteration | 0,"1446 FIFTH St, BERKELEY, CA 94710",0,"059
232500700",A 1 SUN INC,"2015 YOLO AVE, BERKELEY, CA, CA94707-2615",Install 2.01 KW PV solar panels (6 modules) on metal roof for Unit A. (See #B2018-02503 for framing. Unit A is not a COB registered address.)
B2019-01612,Building Permit,Issued,4/17/2019,Residential | Alteration | 0,"2937 FOREST Ave,
BERKELEY, CA 94705",20000,"054
170200400",THE RENOVATION STUDIO,"1481 DARLENE DR, CONCORD, CA, CA94520-3908",Remodel master bathroom. All plumbing fixtures to remain in the same location. No exterior work.
B2019-01615,Building Permit,Issued,4/19/2019,Residential | Alteration | 0,"1446 FIFTH St, BERKELEY, CA 94710",0,"059
232500700",A 1 SUN INC,"2015 YOLO AVE, BERKELEY, CA, CA94707-2615",Install 2.01KW PV solar panels (6 modules) on metal roof for Unit B. (See #B2018-03577 for framing. Unit B is not a COB registered address.)
B2019-01616,Building Permit,Issued,4/19/2019,Residential | Alteration | 0,"166 VICENTE Rd,
BERKELEY, CA 94705",0,"064
422200600",A 1 SUN INC,"2015 YOLO AVE, BERKELEY, CA, CA94707-2615",Install 4.55KW PV solar panels on the residence & garage roofs. (13 modules total / 9 on SFR & 4 on garage.) Fire Zone 2 Property.
B2019-01617,Building Permit,Finaled,4/19/2019,Residential | Alteration | 0,"1218 GLEN Ave,
BERKELEY, CA 94708",0,"060
246300400",A 1 SUN INC,"2015 YOLO AVE, BERKELEY, CA, CA94707-2615",Install 4.32KW PV solar panels (12 modules) on the roof. Fire Zone 2 Property.
B2019-01619,Building Permit,Issued,4/26/2019,Residential | Alteration | 1,"1000 KEELER Ave,
BERKELEY, CA 94708",85000,"063
297700800",WINFIELD CONSTRUCTION CO,"1096 YERBA BUENA AVE, EMERYVILLE, CA, CA94608","Residential remodel of (E) rear cottage, new windows, sliding door, adding gas fireplace and remodel bathroom. Must Comply with Fire Zone 2 Requirements."
B2019-01621,Building Permit,Finaled,4/18/2019,Residential | Alteration | 0,"1237 PERALTA Ave,
BERKELEY, CA 94706",0,"060
241602000",,,Repair (e) panel for PG&E recheck
B2019-01622,Building Permit,Finaled,4/18/2019,Residential | Alteration | 0,"1751 SPRUCE St,
BERKELEY, CA 94709",0,"058
218203301",CITY ELECTRIC SERVICE INC,"50 ROLPH PARK DR, CROCKETT, CA, CA94525-1424","Ground (15) receptacles, replace (12) switches, install (1) new 20AMP 120V circuit and (1) GFCI for microwave."
B2019-01624,Building Permit,Issued,4/18/2019,Residential | Alteration | 0,"545 ARLINGTON Ave,
BERKELEY, CA 94707",9800,"062
291601700",,,Reroof-Remove/Replace 30yr comp shingles
B2019-01625,Building Permit,Finaled,4/18/2019,Residential | Alteration | 0,"1227 PERALTA Ave,
BERKELEY, CA 94706",0,"060
241602400",,,Install 3.78KW PV solar panels (12 modules) on the roof.
B2019-01628,Building Permit,Finaled,4/18/2019,Residential | Alteration | 0,"1321 GRIZZLY PEAK Blvd, BERKELEY, CA 94708",19267,"060
249402100",ACKER ROOFING,"1233 REDWOOD DR, CONCORD, CA, CA94520-4036",Remove existing wood siding & replace with Class B fire treated wood siding. Fire Zone 2 Property.
B2019-01629,Building Permit,Issued,4/30/2019,Residential | Alteration | 0,"2204 ASHBY Ave,
BERKELEY, CA 94705",20000,"052
158300200",PEREZ HANDYMAN & CONSTRUCTION,"1020 TRAILSIDE DRIVE, RICHMOND, CA, CA94803","Interior bath remodel. Remove & replace nonbearing partition walls, relocate fixtures & change the tub to a shower."
B2019-01633,Building Permit,Issued,4/18/2019,Residential | Alteration | 0,"1 AVENIDA Dr, BERKELEY, CA 94708",6000,"060
248203800",,,"Retile shower & floor, replace plumbing & electrical in master bathroom. Fire Zone 2 Property."
B2019-01636,Building Permit,Issued,4/23/2019,Residential | Alteration | 0,"1446 FIFTH St, BERKELEY, CA 94710",0,"059
232500700",A 1 SUN INC,"2015 YOLO AVE, BERKELEY, CA, CA94707-2615",Install 2.01 KW PV solar panels (6 modules) on metal roof for Unit D. (See #B2018-03127 for framing. Unit D is not a COB registered address.)
B2019-01637,Building Permit,Issued,4/23/2019,Residential | Alteration | 0,"1446 FIFTH St, BERKELEY, CA 94710",0,"059
232500700",A 1 SUN INC,"2015 YOLO AVE, BERKELEY, CA, CA94707-2615",Install 2.01 KW PV solar panels (6 modules) on metal roof for Unit C. (See #B2018-03576 for framing. Unit C is not a COB registered address.)
B2019-01641,Building Permit,Finaled,4/19/2019,Residential | Alteration | 0,"2218 ACTON St,
BERKELEY, CA 94702",0,"056
199300600",ALBERT NAHMAN PLUMBING,"3333 M. L. KING JR. WAY, BERKELEY, CA, CA94703",Replace furnace in crawlspace - same location
B2019-01644,Building Permit,Issued,4/19/2019,Residential | Alteration | 0,"1302 RUSSELL St,
BERKELEY, CA 94702",7483,"053
162200200",RCR INC,"3993 STAR RIDGE RD, HAYWARD, CA, CA94542",11 squares: Remove existing roofing and install new PVC roofing membrane mechanically attach
B2019-01645,Building Permit,Issued,4/19/2019,Residential | Alteration | 0,"1540 SACRAMENTO St,
BERKELEY, CA 94702",19744,"059
228610600",RCR INC,"3993 STAR RIDGE RD, HAYWARD, CA, CA94542","22 squares: Remove existing old roof, install new 1/2""sheeting, new class ""A"" asphalt composition shingles"
B2019-01647,Building Permit,Finaled,4/19/2019,Residential | Alteration | 0,"2511 VIRGINIA St,
BERKELEY, CA 94709",0,"058
219701001",VAL BETTI PLUMBING/HEATING INC,"3605 MACDONALD AVE, RICHMOND, CA, CA94805-2114","Install seven (7) earthquake valves at existing PG&E gas meters (6 apartments-1 house meter) Unit #101, #102, #103, #201, #202, #203 & house
meter"
B2019-01648,Building Permit,Issued,4/22/2019,Residential | Alteration | 0,"2100 SIXTH St, BERKELEY, CA 94710",0,"056
196200400",,,"Heater replacement-vented hearth heater in living room (Williams 3501522A 35,000 BTU NG) Unit A"
B2019-01650,Building Permit,Issued,4/19/2019,Residential | Alteration | 0,"2418 ASHBY Ave B, BERKELEY, CA 94705",0,"052
157307701",,,"Replace wall furnace, bathroom sink and faucet in Unit B per housing case #H2019-00095 items #1 & 8."
B2019-01651,Building Permit,Issued,4/19/2019,Residential | Alteration | 0,"2247 SUMMER St,
BERKELEY, CA 94709",3500,"060
246300900",,,"Remove & replace ceiling plaster in kitchen. Add a new 60 AMP subpanel, upgrade knob & tub wiring throughout. Fire Zone 2 Property."
B2019-01656,Building Permit,Issued,4/22/2019,Residential | Alteration | 0,"1708 VIRGINIA St,
BERKELEY, CA 94703",45000,"058
216002100",,,Partial foundation replacement seismic strengthening for transfer tax rebate.
B2019-01659,Building Permit,Issued,4/22/2019,Residential | Alteration | 0,"1811 DELAWARE St,
BERKELEY, CA 94703",0,"058
216801500",,,Turn on gas that was was turned off due to fire.
B2019-01660,Building Permit,Issued,4/22/2019,Residential | Alteration | 0,"2709 CLAREMONT Blvd,
BERKELEY, CA 94705",21000,"054
170206200",KLB CO,"P.O. BOX 733, DUBLIN, CA, CA94568","RE-ROOF, REMOVE (E) SHINGLES, REPLACE W/SOLAR REFLECTIVE SHINGLES."
B2019-01661,Building Permit,Finaled,4/22/2019,Residential | Alteration | 0,"1607 BERKELEY Way,
BERKELEY, CA 94703",0,"057
206901400",ERWYN'S PLUMBING,"787 9TH ST, RICHMOND, CA, CA94801",REPLACING MAIN WATER LINE FORM METER TO BUILDING (HOUSE).
B2019-01664,Building Permit,Issued,4/29/2019,Residential | Alteration | 0,"36 ROANOKE Rd,
BERKELEY, CA 94705",0,"064
425200900",,,Install new outlet in garage.
B2019-01665,Building Permit,Issued,4/22/2019,Residential | Alteration | 0,"1738 CAPISTRANO Ave,
BERKELEY, CA 94707",0,"062
288602200",,,"Add 1.2 KW PV solar panels (4 modules) on the roof, to an existing (3KW / 10 module) PV system."
B2019-01668,Building Permit,Issued,4/29/2019,Residential | Alteration | 0,"1946 EL DORADO Ave, BERKELEY, CA 94707",14229,"061
257003700",RENEWAL BY ANDERSEN OF SAN FRA,"30800 SANTANA ST, HAYWARD, CA, CA94544","Remove & replace two (2) windows & one (1) patio door, same sizes & locations. Fire Zone 2 Property."
B2019-01669,Building Permit,Finaled,4/23/2019,Residential | Alteration | 0,"1783 SONOMA Ave,
BERKELEY, CA 94707",0,"061
260800900",A 1 SUN INC,"2015 YOLO AVE, BERKELEY, CA, CA94707-2615",Install 4.38KW PV Solar panels (12 modules) on the roof.
B2019-01670,Building Permit,Finaled,4/24/2019,Residential | Alteration | 0,"1359 BERKELEY Way,
BERKELEY, CA 94702",0,"057
207401000",FREE ENERGY SYSTEMS,"300 MONTGOMERY ST #730, SAN FRANCISCO, CA, CA94104",Install 3.96KW PV solar panels (12 Modules) on the roof.
B2019-01675,Building Permit,Issued,4/22/2019,Residential | Alteration | 0,"1933 EL DORADO Ave, BERKELEY, CA 94707",0,"061
257300700",ERICKSEN ELECTRIC,"PO BOX 620832, WOODSIDE, CA, CA94062-0832","Service upgrade to 200 AMP, four recessed LTS, GFI, two new outdoor GFI ground existing."
B2019-01678 ,Building Permit ,Finaled ,4/22/2019,Residential | Alteration | 0 ,"2160 OREGON St, BERKELEY, CA 94705",0,053 168603200, , ,Replace water service from the meter to the house. 
B2019-01680,Building Permit,Finaled,4/24/2019,Residential | Alteration | 0,"1027 MERCED St,
BERKELEY, CA 94707",19250,"061
261602500",COLLINS ROOFING,"3756 GRAND AVE, SUITE 304, PIEDMONT, CA, CA94610","Reroof the low pitched middle roof, upper and lower rear roofs also reroof small lower roof on the right side. Install double layer modified on lower pitched roof. Install shingles on pitched roof."
B2019-01681,Building Permit,Issued,4/25/2019,Residential | Alteration | 0,"2824 WALLACE St,
BERKELEY, CA 94702",4987,"053
166200900",HOME DEPOT USA INC.,"PO BOX 105465, ATLANTA, GA, GA30348-5465","Remove & replace three (3) windows, same sizes & locations."
B2019-01682,Building Permit,Finaled,4/23/2019,Residential | Alteration | 0,"1228 MILVIA St, BERKELEY, CA 94709",18896,"060
245001400",,,"Reroof-remove all old roof, plywood and install new comp shingles (GAF)"
B2019-01684,Building Permit,Finaled,4/23/2019,Residential | Alteration | 0,"1136 FRANCISCO St,
BERKELEY, CA 94702",0,"058
213001000",,,Upgrade main electrical service panel to 200Amps
B2019-01685,Building Permit,Issued,4/25/2019,Residential | Alteration | 0,"411 KENTUCKY Ave,
BERKELEY, CA 94707",7500,"062
294504000",SAFE STEP WALK-IN TUB CO INC,"15262 PIPELINE LN, HUNTINGTN BCH, CA, CA92649-1136","Remove existing first floor tub, replace with walk in jet tub, add 20 AMP circuit & fixed appliance outlet. Minor removal & replacement of sheetrock. Fire Zone 2 Property."
B2019-01686,Building Permit,Issued,4/23/2019,Residential | Alteration | 1,"2440 HILLSIDE Ave,
BERKELEY, CA 94704",18000,"055
185600700",NAVRO INC,"101 BROADWAY STE 307, OAKLAND, CA, CA94607-3745",Remodeling (e) bathroom on 2nd floor. Comply with Fire Zone 2 requirements WUII
B2019-01688,Building Permit,Issued,4/24/2019,Residential | Alteration | 0,"990 OVERLOOK Rd,
BERKELEY, CA 94708",15900,"063
313004800",,,Reroof- Remove roofing material install new comp shingles on house roof.
B2019-01690,Building Permit,Issued,4/24/2019,Commercial | Alteration | 0,"950 GILMAN St, BERKELEY, CA 94710",31895,"060
235100106",COLLINS ROOFING,"3756 GRAND AVE, SUITE 304, PIEDMONT, CA, CA94610",Re-roof tar and gravel section only. Approx 3000sqft. Install double layer modified bitumen.
B2019-01691,Building Permit,Issued,4/24/2019,Residential | Alteration | 0,"2821 HILLEGASS Ave 2,
BERKELEY, CA 94705",28500,"053
169402200",CALDECOTT CONSTRUCTION,"5327 JACUZZI ST STE 3E2, RICHMOND, CA, CA94804-5840","Remodel kitchen & bath an add 2nd toilet room. Update electrical, replace bath window."
B2019-01693,Building Permit,Issued,4/23/2019,Residential | Alteration | 0,"2935 GARBER St,
BERKELEY, CA 94705",0,"054
170202400",CHRIS S MAST COMPANY,"5617 MACDONALD AVE, EL CERRITO, CA, CA94530-1641",Replace Duct Work in Crawl Space after asbestos removal.
B2019-01694,Building Permit,Issued,4/23/2019,Residential | Alteration | 0,"1250 HASKELL St,
BERKELEY, CA 94702",10000,"052
151504800",,,"Remodel Bathroom and install tankless Water Heater, repipe waterlines add circuit for Smoke and Carbon Monoxide protectors."
B2019-01695,Building Permit,Finaled,4/23/2019,Residential | Alteration | 0,"3211 SACRAMENTO St,
BERKELEY, CA 94702",15000,"052
153601400",,,"Remove & replace roofing system, install decking, flashing & shingles."
B2019-01696,Building Permit,Finaled,4/23/2019,Residential | Alteration | 0,"1916 WARD St, BERKELEY, CA 94703",10000,"054
172502400",MASTER ROOFING COMPANY,"2250 E 12TH ST, OAKLAND, CA, CA94606","Tear off (e) roof, install (n) comp shingles 40yr"
B2019-01697,Building Permit,Issued,4/23/2019,Residential | Alteration | 0,"865 THE ALAMEDA,
BERKELEY, CA 94707",0,"061
257504800",ABC COOLING HEATING & PLUMBING INC,"3266 INVESTMENT BLVD, HAYWARD, CA, CA94545-3807",Furnace replacement
B2019-01702,Building Permit,Finaled,4/23/2019,Commercial | Alteration | 0,"2121 Dwight Way,
BERKELEY, CA 94704",0,"055
189001201",THORNTON ELECTRIC,"1101 S RAILROAD AVE, SAN MATEO, CA, CA94402-2122",
B2019-01707,Building Permit,Finaled,4/26/2019,Residential | Alteration | 0,"2909 DOHR St, BERKELEY, CA 94702",0,"053
161901700",BERKELEY ELECTRIC INC,"909 CAMELIA ST, BERKELEY, CA, CA94710-1419","MPU 200A, surface-mounted behind gate at the right side for proper PGE clearance. Add (6) receptacles by fishing.
Add (1) 40 Amp receptacle for EV charger."
B2019-01708 ,Building Permit ,Issued ,4/26/2019,Residential | Alteration | 0 ,"1286 GRIZZLY PEAK Blvd, BERKELEY, CA 94708 ",0,"060
248600600 ", , ,"Install new 40-space sub panel w/125A sub feed. Replace K&T wiring by fishing. Add (2) surface mounted tracks for LED track lights.
We are requiring homeowner install hard-wired smoke detectors for safety. We are not requiring homeowner to add new receptacles
due to economic constraints. Working w/customer to make house safe."
B2019-01711,Building Permit,Issued,4/24/2019,Residential | Alteration | 0,"3040 MABEL St,
BERKELEY, CA 94702",8000,"053
162600500",MEIER & SONS ROOFING,"2061 GLENBROOK CT, CONCORD, CA, CA94520","Reroof-Tear off composition shingles roof and install felt, flashing and GAF timberline HD reflector series (Birchwood color)"
B2019-01712,Building Permit,Finaled,4/24/2019,Residential | Alteration | 0,"3115 ETON Ave A, BERKELEY, CA 94705",8500,"052
156323500",RICK HOFFMAN SERVICES,"2342 SHATTUCK AVE STE 893, BERKELEY, CA, CA94704-1517","""For Transfer Tax Rebate"" - Install plywood, panels, UFP and L-90's according to Plan Set A"
B2019-01714,Building Permit,Issued,4/29/2019,Residential | Alteration | 0,"2214 CARLETON St A, BERKELEY, CA 94704",21152,"055
182703600",RENEWAL BY ANDERSEN OF SAN FRA,"30800 SANTANA ST, HAYWARD, CA, CA94544","Remove & replace eight (8) windows, same sizes & locations."
B2019-01718,Building Permit,Issued,4/25/2019,Residential | Alteration | 0,"1994 YOSEMITE Rd,
BERKELEY, CA 94707",0,"061
257601400","SUNRUN INSTALLATION SERVICES, INC","775 FIERO LN STE 200, SN LUIS OBISP, CA, CA93401-7904","Install 3.8KW PV solar panels (11 modules) on the roof, a 5KW Energy Storage System & a new 100 AMP subpanel. Fire Zone 2 Property."
B2019-01719,Building Permit,Issued,4/24/2019,Residential | Alteration | 0,"2711 MABEL St,
BERKELEY, CA 94702",0,"054
173902000",SILVA CONTRACTOR,"1737 SHIRLEY DR, PLEASANT HILL, CA, CA94523-2907",Replace electrical panel. No extra load being added.
B2019-01722,Building Permit,Issued,4/24/2019,Residential | Alteration | 0,"942 THE ALAMEDA,
BERKELEY, CA 94707",0,"061
260301300",,,Service Upgrade to 100amps
B2019-01724,Building Permit,Issued,4/24/2019,Residential | Alteration | 1,"148 AVENIDA Dr,
BERKELEY, CA 94708",15000,"060
248903801",,,Remove 6x10 beam supporting balcony in front of house. Replace beam and other damaged wood with like material. Originally constructed in 1996 under permit # B1996-00559.
B2019-01726,Building Permit,Finaled,4/24/2019,Commercial | Alteration | 0,"2580 BANCROFT Way,
BERKELEY, CA 94704",0,"055
187701902",POWER DESIGN INC,"11600 9TH ST N, ST PETERSBURG, FL, FL33716-2320",Add 200amp 1208/208V Temporary power service to new construction build out.
B2019-01727,Building Permit,Issued,4/24/2019,Residential | Alteration | 0,"2705 DERBY St,
BERKELEY, CA 94705",50000,"055
184801600",CUSTOM HOME INVESTMENT INC,"2780 AIELLO DR, SAN JOSE, CA, CA95111-2134",Take off shake wood siding and install new stucco.
B2019-01738,Building Permit,Finaled,4/25/2019,Commercial | Alteration | 0,"2109 CEDAR St,
BERKELEY, CA 94709",0,"059
226001400",,,Replace (3) outlets & conduct gas test on existing line.
B2019-01741,Building Permit,Issued,4/25/2019,Residential | Alteration | 0,"1411 BLAKE St, BERKELEY, CA 94702",37500,"054
179601600",,,"Remove & replace windows, same sizes & locations. Remove & replace exterior stucco & sheathing."
B2019-01748,Building Permit,Finaled,4/26/2019,Residential | Alteration | 0,"661 SANTA BARBARA Rd, BERKELEY, CA 94707",0,"062
291404800",,,"MPU FROM 100AMPS TO 200A, SURFACE- MOUNTED. RELOCATE UNDERNEATH THE EXISTING SERVICE DROP. REDIRECT CIRCUITS TO NEW SUB PANEL"
B2019-01755,Building Permit,Finaled,4/26/2019,Residential | Alteration | 0,"1101 KEELER Ave,
BERKELEY, CA 94708",0,"063
298000900",GAGNE-MULFORD ENTERPRISES INC,"5121 PORT CHICAGO HWY, CONCORD, CA, CA94520-1216",Replace water service from the meter to the house.
B2019-01758,Building Permit,Issued,4/26/2019,Residential | Alteration | 0,"756 CRESTON Rd,
BERKELEY, CA 94708",57750,"063
296502700",,,"Interior kitchen remodel. Remove & replace cabinets, countertops & tile. Upgrade electrical, mechanical & plumbing. Fire Zone 2 Property."
B2019-01770,Building Permit,Issued,4/29/2019,Residential | Alteration | 0,"1918 HOPKINS St,
BERKELEY, CA 94707",8000,"061
256801600",NORCAL 2002 INC,"30872 HUNTWOOD AVE STE 15, HAYWARD, CA, CA94544","Residential Kitchen remodel, remove and replace cabinets, hood, plumbing and upgrade electrical."
B2019-01771,Building Permit,Issued,4/29/2019,Residential | Alteration | 0,"725 SPRUCE St,
BERKELEY, CA 94707",0,"063
295905800",GREEN EAGLE PLUMBING,"1965 ASCOT DR APT 1, MORAGA, CA, CA94556-1429",Install new 40 gallon water heater.
B2019-01772,Building Permit,Finaled,4/29/2019,Residential | Alteration | 0,"451 VERMONT Ave,
BERKELEY, CA 94707",0,"062
294302600",GREEN EAGLE PLUMBING,"1965 ASCOT DR APT 1, MORAGA, CA, CA94556-1429",Replace main water service line from meter to house with new copper.
B2019-01778 ,Building Permit ,Issued ,4/30/2019,Residential | Alteration | 0 ,"401 VERMONT Ave,
BERKELEY, CA 94707 ",0,"062
294902700 ",BERKELEY ELECTRIC INC ,"909 CAMELIA ST, BERKELEY, CA, CA94710-1419 ","MPU from 100a to 200a, surface-mtd in same
location. Upgr. grounding system to 200a. Install new 40-sub panel with 125amp sub feed. Rewire 71 units by fishing. Install 4 LEDs in master with dimmer. Add seven (7) hard-wired smoke alarms per requirement."
B2019-01779,Building Permit,Issued,4/29/2019,Residential | Alteration | 0,"2 HARVARD Cir,
BERKELEY, CA 94708",0,"060
248400900",HADDON HEATING & COOLING,"135 MASON CIRCLE, CONCORD, CA, CA94520",(2) Furnace (1) AC & (1) water heater replacement.
B2019-01780,Building Permit,Finaled,4/29/2019,Residential | Alteration | 0,"1035 KEITH Ave,
BERKELEY, CA 94708",7500,"063
297404100",GAMUT CONSTRUCTION,"2394 MARINER SQ DR UNIT 12, ALAMEDA, CA, CA94501","Per Notice of Violation, legalize deck @ rear. Fire Zone 2 Property."
B2019-01782,Building Permit,Issued,4/30/2019,Residential | Alteration | 0,"1705 CHANNING Way 1,
BERKELEY, CA 94703",0,"055
190803400",,,Replace standard gas 50 gal water heater
B2019-01783,Building Permit,Finaled,4/29/2019,Residential | Alteration | 1,"1800 THOUSAND OAKS Blvd, BERKELEY, CA 94707",0,"062
289901800",TANG'S ELECTRIC,"19544 PARSONS AVE, CASTRO VALLEY, CA, CA94546",Rewire & install sub-feeder & panel in basement. Install breakers & grounding.
B2019-01794,Building Permit,Issued,4/30/2019,Residential | Alteration | 0,"59 THE PLAZA Dr, BERKELEY, CA 94705",0,"064
424000200",BLUE ELECTRIC,"1600 MILVIA ST, BERKELEY, CA, CA94709",Upgrade (e) wiring in the cottage
B2019-01796,Building Permit,Finaled,4/30/2019,Mixed Use | Alteration | 0,"974 REGAL Rd, BERKELEY, CA 94708",0,"063
297501503",ALBERT NAHMAN PLUMBING,"3333 M. L. KING JR. WAY, BERKELEY, CA, CA94703",Water service replacement from meter to house
B2019-01797,Building Permit,Issued,4/30/2019,Residential | Alteration | 0,"2511 DERBY St,
BERKELEY, CA 94705",0,"055
184101700",ECO PERFORMANCE BUILDERS INC,"5063 COMMERCIAL CIR STE C, CONCORD, CA, CA94520-8532","Removal of Furnace and replacing with Ducted mini split heat pump system, new circuit to condenser"
B2019-01798,Building Permit,Finaled,4/30/2019,Residential | Alteration | 0,"947 CHANNING Way,
BERKELEY, CA 94710",0,"056
193701500",SJ SPARTAN PLUMBING,"981 S 10TH ST, SAN JOSE, CA, CA95112-2436",Re-pipe (e) galvanized water lines.
B2019-01799,Building Permit,Finaled,4/30/2019,Residential | Alteration | 0,"945 CHANNING Way,
BERKELEY, CA 94710",0,"056
193701500",,,Re-pipe (e) galvanized water lines.
B2019-01801,Building Permit,Issued,4/30/2019,Residential | Alteration | 0,"1148 COLUSA Ave,
BERKELEY, CA 94707",0,"061
260603500",,,Furnace replacement of (2) units.
B2019-01804,Building Permit,Finaled,4/30/2019,Residential | Alteration | 0,"2309 JEFFERSON Ave,
BERKELEY, CA 94703",0,"055
190903500","MAURO'S PLUMBING, LLC","5761 HAZEL AVE, RICHMOND, CA, CA94805-2005",Replace 50 Gallon water heater in kind.
B2019-01805,Building Permit,Finaled,4/30/2019,Residential | Alteration | 0,"2526 HAWTHORNE Ter,
BERKELEY, CA 94708",0,"058
224700201","MAURO'S PLUMBING, LLC","5761 HAZEL AVE, RICHMOND, CA, CA94805-2005",Install (2) earthquake gas shut off valves.
B2019-01806,Building Permit,Issued,4/30/2019,Residential | Alteration | 0,"3008 DANA St, BERKELEY, CA 94705",4200,"052
157400400",PEREZ & PEREZ CONSTRUCTION,"1815 69TH AVE, OAKLAND, CA, CA94621-3429",Repair dry rot damaged exterior walls & wood in areas beneath windows. Will come back in for a revision if repairs exceed replacing stucco (sheathing and/or framing)
B2017-04010,Building Permit,Issued,5/15/2019,"Residential | Addition/Alteration
| 4","2412 TENTH St, BERKELEY, CA 94710",180000,"056
193500800",,,"Remodel and 144 square foot deck addition. Remodel consists of (N) kitchen, (N) half bath, and
(N) French doors to (N) and (E) deck.
**1st App ext to 3/15/19**"
B2017-04213,Building Permit,Issued,5/30/2019,"Residential | Addition/Alteration
| 4","2228 PARKER St,
BERKELEY, CA 94704",175000,"055
182802900",SUCCESS CONSTRUCTION,"430 FULTON ST APT F, SAN FRANCISCO, CA, CA94102-4322","Renovation to an (E) single-story single family dwelling. Scope of work includes raising the building approximately 4 feet to transform the lower, unconditioned space into a compliant, conditioned habitable space."
B2018-00281,Building Permit,Issued,5/30/2019,"Residential | Addition/Alteration
| 4","1736 DWIGHT Way,
BERKELEY, CA 94703",500000,"054
180703300",,,Remodel and addition to convert single family dwelling to two (2) family dwellings
B2018-00298,Building Permit,Issued,5/29/2019,Residential | New | 1,"1222 CORNELL Ave,
BERKELEY, CA 94706",30000,"060
240700900",A M S CONSTRUCTION,"2883 SUPERIOR DR, LIVERMORE, CA, CA94550-6617",Construction of new 10x20 accessory structure
B2018-00704,Building Permit,Issued,5/17/2019,Residential | New | 1,"94 THE UPLANDS,
BERKELEY, CA 94705",2900,"064
425102400",,,Permit to finalize B2013-03955 (New 586 SF ADU).
B2018-01746,Building Permit,Issued,5/30/2019,Residential | Alteration | 1,"1321 BONITA Ave,
BERKELEY, CA 94709",61000,"060
245103000",MONTCLAIR CONSTRUCTION & STRUC,"3871 PIEDMONT AVE, PIEDMONT, CA, CA94611","Bathroom roof alteration, new siding top attic wall"
B2018-02291,Building Permit,Issued,5/30/2019,Residential | New | 6,"739 CHANNING Way,
BERKELEY, CA 94710",2533000,"056
194500600",,,"3 SEPARATE 3-STORY BUILDINGS WITHIN A SINGLE SITE INCLUDING 10 RESIDENTIAL DWELLING UNITS, 4 LIVE/WORK, AND 1 COMMERCIAL UNIT & ASSOCIATED PARKING. BLDG 'A': 8686 SQ. FT.
BLDG. 'B': 4986 SQ. FT.
BLDG, 'C': 6525 SQ. FT."
B2018-02465,Building Permit,Issued,5/22/2019,Commercial | Addition/Alteration | 6,"2120 BERKELEY Way,
BERKELEY, CA 94704",3700000,"057
204600200",CENTRIC CONSTRUCTION INC,"165 VALLEY DR, BRISBANE, CA, CA94005-1340","Phase II Add 3(three) stories of Office space in the amount of 20,889 Sq. Ft. and remodel the existing three floors of office space in the amount of 22,607 for a total of 43,496."
B2018-02491,Building Permit,Issued,5/6/2019,"Residential | Addition/Alteration
| 4","642 ARLINGTON Ave,
BERKELEY, CA 94707",200000,"062
292100200",BENCHMARK HOME CONSTRUCTION INC,"134 E PROSPECT AVE, DANVILLE, CA, CA94526-3812","Convert portion of crawlspace to family room, addition to 2nd floor to create bedroom #5 and bath, addition to 3rd floor for new master closet, new roof deck with 3 story spiral stair"
B2018-02549,Building Permit,Issued,5/23/2019,Residential | New | 4,"3034 HARPER St,
BERKELEY, CA 94703",90000,"053
160201300",BROTHERS WORKS,"5805 HARMON AVE, OAKLAND, CA, CA94621-4337",New accessory structure in rear for art studio and storage.
B2018-02623,Building Permit,Issued,5/8/2019,"Residential | Addition/Alteration
| 4","2815 CHANNING Way,
BERKELEY, CA 94704",1100000,"055
186401000",,,"Building A, 2811-2815 Channing Way and site work- convert and remodel existing 11 Bedroom Bldg into 3 separate units. Added conditioned space and excavation in basement 1603 sq. feet. see email regarding lot merger for A,B & C See. Also see permit numbers B2018-02624 and B2018- 02626."
B2018-02645,Building Permit,Issued,5/21/2019,Residential | New | 4,"1732 SEVENTH St,
BERKELEY, CA 94710",46640,"058
211901500",HORST GRUNER CONSTRUCTION,"760 TEMPLETON AVE, DALY CITY, CA, CA94014",New 424 SqFt Accessory Dwelling Unit.
