Permit.Number,Permit.Type,Status,Date.Issued,Sub.Type,Property.Address,Valuation,APN,Contractor.s.Name,Contractor.s.Address,Work.Description
B2019-00611,Building Permit,Issued,2/13/2019,Residential | Alteration | 0,"2909 ADELINE St,
BERKELEY, CA 94703",13950,"053
159102300",,,Engineered partial foundation repair and drainage.
B2019-00612,Building Permit,Finaled,2/13/2019,Residential | Alteration | 0,"58 PANORAMIC Way A, BERKELEY, CA 94704",9950,"055
185301417",,,"Install french drain, connect to existing drainage that terminates at the curb. Fire Zone 3 Property."
B2019-00622,Building Permit,Issued,2/28/2019,Residential | Alteration | 0,"1111 OXFORD St,
BERKELEY, CA 94707",0,"061
255700300",EVCHARGE4U INC,"1805 MARTIN LUTHER KING JR WAY, BERKELEY, CA, CA94709","Install 240V, 40AMP circuit for an electric vehicle charging station. Fire Zone 2 Property."
B2019-00292,Building Permit,Finaled,2/4/2019,Residential | Alteration | 0,"2724 MABEL St,
BERKELEY, CA 94702",0,"054
174207300",CLEAN SOLAR INC,"1445 KOLL CIR STE 109, SAN JOSE, CA, CA95112-4611",Install 3.05KW PV solar panels (10 modules) on the roof.
B2019-00309,Building Permit,Issued,2/7/2019,Residential | Alteration | 1,"2957 PINE Ave, BERKELEY, CA 94705",50000,"052
156507602",HDR REMODELING,"2952 SACRAMENTO ST, BERKELEY, CA, CA94702","small kitchen remodel, replace in place. 1window replace in place, retitle bathroom floor only"
B2019-00474,Building Permit,Issued,2/4/2019,Residential | Alteration | 0,"1302 RUSSELL St,
BERKELEY, CA 94702",8500,"053
162200200",EAST BAY STRUCTURAL & TERMITE CO,"BURTON, OAKLAND, CA, CA94608","Termite Repair per Report #190107, Dated Jan 18, 2019. Item #1D & 1F. Report #190201, Dated Jan 25, 2019, Item #6E & 6F. Dry Rot repair. Replace stucco, framing & sheathing."
B2019-00479,Building Permit,Finaled,2/5/2019,Residential | Alteration | 0,"2128 OREGON St,
BERKELEY, CA 94705",0,"053
168602400",EVCHARGE4U INC,"1805 MARTIN LUTHER KING JR WAY, BERKELEY, CA, CA94709",Install NEMA 14-50 on a dedicated 240V-40amp circuit
B2019-00515,Building Permit,Finaled,2/6/2019,Residential | Alteration | 0,"1812 SIXTY-SECOND St,
BERKELEY, CA 94703",6405,"052
143301000",OMEGA TERMITE CONTROL,"807 75TH AVE, OAKLAND, CA, CA94621","Repair door jamb, adjacent window and trip repair, re-flash doors, rim joist and sub-floor repairs, to address items 2 & 8 of termite inspection report."
B2019-00516,Building Permit,Issued,2/6/2019,Residential | Alteration | 0,"1620 DELAWARE St,
BERKELEY, CA 94703",0,"057
206602700",SERVICE CHAMPIONS,"7020 COMMERCE DR, PLEASANTON, CA, CA94588",Replace furnace 80% 70K under house.
B2019-00517,Building Permit,Issued,2/20/2019,Residential | Alteration | 1,"2106 ASHBY Ave,
BERKELEY, CA 94705",3000,"053
158702001",,,"Permit to finish work and obtain final for work under B2015-02482. Soft story retrofit, accessibility upgrades, tenant improvements."
B2019-00528,Building Permit,Issued,2/14/2019,Residential | Alteration | 0,"2247 GLEN Ave,
BERKELEY, CA 94709",0,"060
246401200",DARIUS KRAUS ELECTRIC,"7341 CIRCLE HILL DR, OAKLAND, CA, CA94605-2619",Replacement of existing sub panel
B2019-00534,Building Permit,Finaled,2/7/2019,"Residential | Addition/Alteration
| 0","2709 CLAREMONT Blvd,
BERKELEY, CA 94705",24530,"054
170206200",OMEGA TERMITE CONTROL,"807 75TH AVE, OAKLAND, CA, CA94621","Termite repair items 5,9,11,12,24 (report #94348) and 26 Like in kind repairs to the wood shingles, roof eaves, roof rafters, sub floor, floor joists, sheathing and mudsill to house."
B2019-00537,Building Permit,Finaled,2/7/2019,Residential | Alteration | 0,"1740 SAN LORENZO Ave, BERKELEY, CA 94707",6995,"062
288301900",GEN-TECH CONSTRUCTION INC.,"4820 MAC ARTHUR BLVD, OAKLAND, CA, CA94619","Termite repair per Report #G218806, Dated Oct 11, 2018. Item 11A, remove & replace framing, sheathing & stucco."
B2019-00539,Building Permit,Finaled,2/13/2019,Residential | Alteration | 0,"1541 JOSEPHINE St,
BERKELEY, CA 94703",0,"059
227102500",ROBERTS ELECTRIC CO INC,"2408 WEBSTER ST, OAKLAND, CA, CA94612",Service Upgrade from 100a to 125a
B2019-00540,Building Permit,Issued,2/7/2019,Residential | Alteration | 0,"1140 1/2 DELAWARE St, BERKELEY, CA 94702",8000,"057
208606100",LEVEL UP HOME REMODELING,"1580 OAKLAN RD, SAN JOSE, CA, CA95131",Interior kitchen remodel.
B2019-00542,Building Permit,Issued,2/7/2019,Residential | Alteration | 0,"2200 M L KING JR Way, BERKELEY, CA 94704",7000,"057
201800400",,,"Remove & replace thirteen (13) windows, same size & location."
B2019-00543,Building Permit,Issued,2/7/2019,Residential | Alteration | 1,"1917 M L KING JR Way, BERKELEY, CA 94704",4000,"057
205801200",,,Repair (E) staircase in rear as needed
B2019-00467,Building Permit,Issued,2/4/2019,Residential | Alteration | 0,"1606 TYLER St A, BERKELEY, CA 94703",48000,"053
160603400",PACIFIC REMODELING AND DESIGN,"1405 FARGO CT, CONCORD, CA, CA94521",Interior kitchen & second floor bath remodel. Relocate subpanel to the outside of the pantry & upgrade it to 110AMPS. (Unit #A.)
B2019-00468,Building Permit,Finaled,2/4/2019,Residential | Alteration | 0,"3140 COLLEGE Ave 1,
BERKELEY, CA 94705",0,"052
141003400",,,Rewire apartment #1
B2019-00470 ,Building Permit ,Issued ,2/4/2019,Residential | Alteration | 0 ,"1253 ASHBY Ave, BERKELEY, CA 94702",2500,053 162800600,BEST HOME REMODELING INC,"3040 GIANT RD STE # 205, SAN PABLO, CA, CA94806","Remodel two (2) bathrooms. Replace tub surrounds, tiles & shower valves."
B2019-00471,Building Permit,Finaled,2/4/2019,Residential | Alteration | 0,"2526 SHATTUCK Ave,
BERKELEY, CA 94704",0,"055
182200600",YOUNG KIM BUILDERS INC,"200 VISTA GRANDE AVE, DALY CITY, CA, CA94014-3835",Replace (e) water heater in attic
B2019-00472,Building Permit,Finaled,2/4/2019,Residential | Alteration | 0,"1337 HEARST Ave,
BERKELEY, CA 94702",0,"057
207901400",GERRARD ELECTRIC,"99 ARDMORE RD, KENSINGTON, CA, CA94707-1310",Install new sub-panel to provide power for on- demand water heater.
B2019-00623,Building Permit,Issued,2/13/2019,Residential | Alteration | 0,"1820 SIXTH St A, BERKELEY, CA 94710",0,"057
209801700",,,Replace 40 gal. water heater
B2019-00624,Building Permit,Issued,2/21/2019,Residential | Alteration | 0,"2227 CURTIS St,
BERKELEY, CA 94702",5102,"056
198703000",ADVANCED BUILDING SERVICES INC,"P.O. BOX 11144, PIEDMONT, CA, CA946110144",Plan Set A - Seismic retrofit for Transfer Tax Rebate.
B2019-00628,Building Permit,Issued,2/14/2019,Residential | Alteration | 0,"568 SPRUCE St,
BERKELEY, CA 94707",12700,"062
293902700",HD BATHS,"1319 LINDEN DR, CONCORD, CA, CA94520-4017","Interior kitchen remodel. Replace cabinets, countertops & appliances. New lighting & subpanel. Fire Zone 2 Property."
B2019-00631,Building Permit,Finaled,2/14/2019,Residential | Alteration | 0,"513 THE ALAMEDA,
BERKELEY, CA 94707",0,"062
290900900",WILLIAMS ELECTRIC,"6114 LA SALLE AVE # 452, OAKLAND, CA, CA94611-2802",200 AMP panel upgrade and additional circuit.
B2019-00632,Building Permit,Finaled,2/14/2019,Residential | Alteration | 0,"1 VIRGINIA GARDENS,
BERKELEY, CA 94702",0,"058
213903000",ALBERT NAHMAN PLUMBING,"3333 M. L. KING JR. WAY, BERKELEY, CA, CA94703",Replace tank 40 gallon water heater
B2019-00633,Building Permit,Finaled,2/14/2019,Residential | Alteration | 0,"1134 WALNUT St,
BERKELEY, CA 94707",0,"061
256101000",ALBERT NAHMAN PLUMBING,"3333 M. L. KING JR. WAY, BERKELEY, CA, CA94703",Install tankless water heater on the exterior. (No electrical.) Fire Zone 2 Property.
B2019-00634,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"1180 GRIZZLY PEAK Blvd, BERKELEY, CA 94708",0,"063
298201001",ALBERT NAHMAN PLUMBING,"3333 M. L. KING JR. WAY, BERKELEY, CA, CA94703",Install tankless water heater on the exterior. (No electrical.) Fire Zone 2 Property.
B2019-00637,Building Permit,Issued,2/14/2019,Residential | Alteration | 0,"2240 DERBY St,
BERKELEY, CA 94705",0,"054
171803400",SERVICE CHAMPIONS,"7020 COMMERCE DR, PLEASANTON, CA, CA94588",New 2.5 ton 16 SEER A/C with electrical in backyard
B2019-00644,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2706 MABEL St,
BERKELEY, CA 94702",0,"054
174001300",,,Replace water heater and electrical wiring and install/replace outlets per housing report #H2018- 00382
B2019-00645,Building Permit,Issued,2/14/2019,Residential | Alteration | 0,"2430 PROSPECT St 206,
BERKELEY, CA 94704",800,"055
186500700",BATH FITTER,"1477 DOOLITTLE DR, SAN LEANDRO, CA, CA94577-2225","Chang tub to shower, install valve, new wall board & acrylic over wallboard. Fire Zone 2 Property."
B2019-00676,Building Permit,Finaled,2/15/2019,Residential | Alteration | 0,"3239 BAKER St,
BERKELEY, CA 94702",0,"052
151901600",,,Re-roof
B2019-00677,Building Permit,Finaled,2/15/2019,Residential | Alteration | 0,"2819 SAN PABLO Ave, BERKELEY, CA 94702",0,"054
174202400",OAKLAND ROOTER & PLUMBING,"1614 FRUITVALE AVE, OAKLAND, CA, CA94601",Bring two (2) water heaters up to code case #H2018-00366
B2019-00680,Building Permit,Finaled,2/15/2019,Residential | Alteration | 0,"1505 BERKELEY Way,
BERKELEY, CA 94703",0,"057
206801500",ZANDERBUILT CORP,"1124 ARCH ST, BERKELEY, CA, CA94708-1615",Install (2) gas-shut-off-valves
B2019-00681,Building Permit,Issued,2/15/2019,"Mixed Use | Addition/Alteration
| 0","2710 FULTON St,
BERKELEY, CA 94705",0,"054
171901900",,,
B2019-00682,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"3135 ETON Ave,
BERKELEY, CA 94705",11950,"052
156316900",RENEWAL BY ANDERSEN OF SAN FRA,"30800 SANTANA ST, HAYWARD, CA, CA94544","Remove & replace five (5) windows, same sizes & locations."
B2019-00683,Building Permit,Issued,2/15/2019,Residential | Alteration | 0,"2731 SHASTA Rd,
BERKELEY, CA 94708",2500,"060
247000200",,,"REPLACEMENT OF WATER HEATER, PLUS INSTALL ATTIC INSULATION, BAFFLES AND AIR SEALING."
B2019-00684,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1844 SAN RAMON Ave, BERKELEY, CA 94707",12096,"062
291100704",RENEWAL BY ANDERSEN OF SAN FRA,"30800 SANTANA ST, HAYWARD, CA, CA94544","Remove & replace six (6) windows, same sizes & locations. Fire Zone 2 Property."
B2019-00688 ,Building Permit ,Finaled ,2/19/2019,Residential | Alteration | 0 ,"1317 MCGEE Ave,
BERKELEY, CA 94703 ",0,"060
243804100 ",BERKELEY ELECTRIC INC ,"909 CAMELIA ST, BERKELEY, CA, CA94710-1419 ",Upgrade existing 100A main panel to 200A main panel. Install 40-sp sub panel with 125 sub feed. Altering and changing wire; rewire (75) existing hazardous knob and tube units
B2019-00698,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2111 MCKINLEY Ave,
BERKELEY, CA 94703",4000,"057
201701601",ERIC ZIBBEL DESIGN BUILD INC,"1006 JEFFERSON ST APT F, OAKLAND, CA, CA94607",Safety and Security enhancements: window bars on one first floor egress window. Panic bar and closer installation on side of yard gate. Motion activated security lighting.
B2019-00702,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2119 CALIFORNIA St,
BERKELEY, CA 94703",2500,"056
200503300",AXIS CONSTRUCTION,"2544 BARRINGTON CT, HAYWARD, CA, CA94545","Remove and reset (1) 3.ox4.9 existing window. Replace 54sf of stucco around window. New window flashing 16lf of window trim, paint to match"
B2019-00703,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2121 CALIFORNIA St,
BERKELEY, CA 94703",2500,"056
200503400",AXIS CONSTRUCTION,"2544 BARRINGTON CT, HAYWARD, CA, CA94545","Remove and reset 3.0x4.0 existing window. Replace 54sf of stucco around (1) window. New window flashing, 16lf of window trim, paint to match"
B2019-00704,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2125 CALIFORNIA St,
BERKELEY, CA 94703",12000,"056
200503800",AXIS CONSTRUCTION,"2544 BARRINGTON CT, HAYWARD, CA, CA94545",Waterproof (4) existing windows. Remove and reset (1) 2.0x2.and (3) 4.0x4.0 windows. Replace 210sf of stucco around existing windows. New flashing replace 24lf of window trim.
B2019-00705,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2104 SPAULDING Ave,
BERKELEY, CA 94703",0,"056
200000401",SERVICE CHAMPIONS,"7020 COMMERCE DR, PLEASANTON, CA, CA94588",Install new Furnace 80% 70K (under house) with plumbing & electrical ducting six (6) supply one (1) return.
B2019-00706,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2131 HEARST Ave 5,
BERKELEY, CA 94709",4000,"057
204900700",THE WINDOW SPECIALIST,"14733 CATALINA ST, SAN LEANDRO, CA, CA94577-6609",Replacing 3 window (in-kind)
B2019-00713,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"2710 FULTON St,
BERKELEY, CA 94705",2850,"054
171901900",,,Remove Upper portion of chimney & cap.
B2019-00714,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"11 ROSLYN Ct, BERKELEY, CA 94618",22680,"064
425202300",S'TOP ROOFING COMPANY INC,"1132 QUESADA AVE, SAN FRANCISCO, CA, CA94124-3420",Reroof Landmark pro shingle - Fire Zone 2
B2019-00716,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"1836 ARCH St, BERKELEY, CA 94709",0,"058
218205200",ALL THINGS GOOD,"6112 SUTTER AVE, RICHMOND, CA, CA94804-5350",2 stage high efficiency day and night furnace; duct system with 4 runs
B2019-00718,Building Permit,Issued,2/19/2019,Residential | Alteration | 0,"1643 WALNUT St,
BERKELEY, CA 94709",0,"058
217901800",ALL THINGS GOOD,"6112 SUTTER AVE, RICHMOND, CA, CA94804-5350",5 new supply ducts insulated to r-8; 1 new return; two zone system
B2019-00722,Building Permit,Issued,2/28/2019,Residential | Alteration | 0,"2815 MATHEWS St,
BERKELEY, CA 94702",8803,"053
166402000",GOLDEN STATE SEISMIC & STRUCTURAL INC,"426 BOULDER DR, ANTIOCH, CA, CA94509-6906",Plan Set A Seismic work for transfer tax rebate.
B2019-00726,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1741 M L KING JR Way, BERKELEY, CA 94709",6500,"058
216901900",RODOLFO A ARIAS,"2803 19TH AVE, OAKLAND, CA, CA94606",Reroof-Install new layer of torch down granulated roof over the existing 1600sqft
B2019-00727,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1716 WOOLSEY St,
BERKELEY, CA 94703",0,"052
154700200",FREEWAY MECHANICAL,"PO BOX 4954, OAKLAND, CA, CA94605",Replace central heating.
B2019-00729,Building Permit,Finaled,2/20/2019,Residential | Alteration | 0,"1709 MILVIA St, BERKELEY, CA 94709",0,"058
217502700",TRANSFORM ELECTRICAL & LIGHTING,"PO BOX 170, CONCORD, CA, CA94522","Replacing main panel to 125A, installing electric vehicle charger at back of house"
B2019-00731,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1143 KEITH Ave,
BERKELEY, CA 94708",0,"063
298605700",HADDON HEATING & COOLING,"135 MASON CIRCLE, CONCORD, CA, CA94520",Furnace replacement 96% AFUE 100kBtu
B2019-00733,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"3103 ACTON St,
BERKELEY, CA 94702",0,"052
154101400",HADDON HEATING & COOLING,"135 MASON CIRCLE, CONCORD, CA, CA94520",Furnace replacement 80% AFUE.
B2019-00734,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"3 ACTON Cir, BERKELEY, CA 94702",10000,"056
199705700","COSMIC RENOVATION & ROOFING, INC","1808 ELKWOOD DR, CONCORD, CA, CA94519-1122",Residential Re-Roof; Tear off (E) comp roof and install new cool roof comp shingles. 14SQ
B2019-00735,Building Permit,Finaled,2/20/2019,Residential | Alteration | 0,"6450 MYSTIC St,
BERKELEY, CA 94618",14000,"064
429504600",,,"Residential Re Roof; Tear off tar & gravel roof, install new torch down roof system. 20 SQ"
B2019-00736,Building Permit,Finaled,2/20/2019,Residential | Alteration | 0,"2133 HASTE St 4,
BERKELEY, CA 94704",0,"055
189100500",COHEN JEFFREY H,"7260 VIEW AVE, EL CERRITO, CA, CA94530-1814",Per housing report H2018-00456 item # 7 dated 1/10/2019 remove surface mount wiring.
B2019-00737,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"2020 CHANNING Way,
BERKELEY, CA 94704",0,"055
189602501",COHEN JEFFREY H,"7260 VIEW AVE, EL CERRITO, CA, CA94530-1814",Replace (E) Zinco panel with new.
B2019-00738,Building Permit,Finaled,2/20/2019,Residential | Alteration | 0,"2443 HILGARD Ave 1,
BERKELEY, CA 94709",0,"058
219503700",ALBERT NAHMAN PLUMBING,"3333 M. L. KING JR. WAY, BERKELEY, CA, CA94703",Replace 30 Gal water heater @ (E) location in basement.
B2019-00739,Building Permit,Finaled,2/20/2019,Residential | Alteration | 0,"916 BATAAN Ave,
BERKELEY, CA 94710",8500,"059
231301800",J V ROOFING,"674 MORSE ST APT 4, SAN FRANCISCO, CA, CA94112-4239","Remove existing roof 2000 sqft and install 28 base layer with metal cap nail and flatter roof, install apex torch down base with modified bitumen and life-time shingles."
B2019-00741,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"2954 SHASTA Rd,
BERKELEY, CA 94708",0,"063
299302000",MAR ELECTRIC SERVICE,"4278 ATLAS AVE, OAKLAND, CA, CA946191633",Upgrade Electrical Service 100amps for a total of 170 amps. Install base meter. Must comply with Fire Zone 2 regulations.
B2019-00743,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1632 JULIA St, BERKELEY, CA 94703",44000,"053
160803500",ALAMEDA STRUCTUAL INC.,"1620 CLINTON AVE, ALAMEDA, CA, CA94501","Replace 167 LF of foundation, new mudsills & anchor bolts."
B2019-00744,Building Permit,Finaled,2/20/2019,Residential | Alteration | 0,"39 NORTHAMPTON Ave,
BERKELEY, CA 94707",0,"062
293904000",HOME TECH ELECTRICAL SERVICES,"1922 TICE VALLEY BLVD, WALNUT CREEK, CA, CA94595-5099",200 AMP panel upgrade and 100 sub panel.
B2019-00745,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1428 M L KING JR Way, BERKELEY, CA 94709",9000,"059
227001100",ALL AMERICAN ROOFING AND GUTTERS,"1325 BIRMINGHAM ST, OAKLEY, CA, CA94561-6359",Residential Re-Roof; Tear off old shingles and install new ones.
B2019-00746,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"2870 ADELINE St,
BERKELEY, CA 94703",0,"053
168200100",PREFERRED PLUMBING,"1980 OLIVERA RD, STE F, CONCORD, CA, CA94520",Repair sewer line.
B2019-00747,Building Permit,Finaled,2/20/2019,Residential | Alteration | 0,"2712 ELLSWORTH St,
BERKELEY, CA 94705",0,"054
171800300",CALIFORNIA CONTRACTORS,"32 EDWIN DR, KENSINGTON, CA, CA94707-1022",Water heater replacement.
B2019-00748,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1212 COLUSA Ave,
BERKELEY, CA 94707",6000,"060
243600700",PANCOAST CONSTRUCTION INC.,"1319 CARLOTTA AVE, BERKELEY, CA, CA94703-1003","Window and door replacement, same size. (E) front porch stair repair replacement with same configuration. Replace concrete topping of side porch"
B2019-00752,Building Permit,Issued,2/20/2019,Residential | Alteration | 0,"1220 HASKELL St,
BERKELEY, CA 94702",0,"052
151503000",,,Repair/replace hood cover and replace bathroom exhaust fan - In unit A downstairs.
B2019-00761,Building Permit,Issued,2/28/2019,Residential | Alteration | 0,"1417 QUEENS Rd,
BERKELEY, CA 94708",0,"060
248504800",EVCHARGE4U INC,"1805 MARTIN LUTHER KING JR WAY, BERKELEY, CA, CA94709","Install EV charging station. Nema 14-50 on a dedicated 240V, 40AMP circuit. Fire Zone 2 Property."
B2019-00762,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"1625 EIGHTH St A, BERKELEY, CA 94710",4900,"058
212402700",HOME DEPOT USA INC.,"PO BOX 105465, ATLANTA, GA, GA30348-5465","Remove & replace seven (7) windows, same sizes & locations."
B2019-00763,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"157 FAIRLAWN Dr,
BERKELEY, CA 94708",0,"060
248704800",SESCO ELECTRICAL INC,"1569 SOLANO AVE # 151, BERKELEY, CA, CA94707-2116","new 200amp service, 100amp feeder to new subpanel in garage, circuits for dryer and electric range circuits, demo Federal Pacific panel and convert to junction box. Replace existing receptacles with GFCI's in the kitchen, bathrooms, and at the basement level"
B2019-00765,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"1417 SIXTH St, BERKELEY, CA 94710",8568,"059
233601700",HOME DEPOT USA INC.,"PO BOX 105465, ATLANTA, GA, GA30348-5465","Remove & replace ten (10) windows, same sizes & locations."
B2019-00768,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"1933 RUSSELL St,
BERKELEY, CA 94703",0,"053
167900800",SESCO ELECTRICAL INC,"1569 SOLANO AVE # 151, BERKELEY, CA, CA94707-2116","install new four meter main panel (120/240 volt, 300amp, single phase). Replace Zinsco distribution panel, one FPE panel, and one cutler hammer panel"
B2019-00770,Building Permit,Issued,2/21/2019,Residential | Alteration | 0,"45 Senior Ave, Berkeley, CA 94708",15000,"060
249002703",R M BUILDERS ASSOCIATES INC,"312 GLENCOURT WAY, PACIFICA, CA, CA94044-2028",Convert a bathroom to create one and another 1/2 bathroom and laundry room remodel.
B2019-00772,Building Permit,Issued,2/21/2019,Residential | Alteration | 0,"1515 FAIRVIEW St,
BERKELEY, CA 94703",0,"052
154401300",ISLAND ELECTRIC,"2066 ALAMEDA AVE, ALAMEDA, CA, CA94501-4209",Upgrade 100 amps dual meter bank to 125A Dual Meter Bank + 2 125Amps subpanel for Units A & B.
B2019-00773,Building Permit,Issued,2/21/2019,Residential | Alteration | 0,"1501 CAMPUS Dr,
BERKELEY, CA 94708",0,"060
248302200",T R ELECTRIC,"783 HORIZON DR, MARTINEZ, CA, CA94553-5937",Service upgrade from currently 125amps to 200amps. Must comply with fire Zone 2 and 3 requirements.
B2019-00776,Building Permit,Finaled,2/21/2019,Residential | Alteration | 0,"1951 CHESTNUT St 109,
BERKELEY, CA 94702",0,"057
208102100",D.A.W. ELECTRIC,"118 MAGNOLIA AVE, SOUTH SAN FRANCISCO, CA, CA94080",Install two (2) in the kitchen Case#H2018-00246 Item# 19 & #20
B2019-00777,Building Permit,Issued,2/27/2019,Residential | Alteration | 0,"2919 OTIS St, BERKELEY, CA 94703",0,"053
159802700",HARRY CLARK PLUMBING & HEATING,"3026 BROADWAY, OAKLAND, CA, CA94611",Replace furnace
B2019-00780,Building Permit,Issued,2/22/2019,Mixed Use | Alteration | 0,"1985 ASHBY Ave,
BERKELEY, CA 94703",3000,"053
159801900",,,New permit to obtain final inspection for soft story retrofit under expired permit # B2015-00532.
B2019-00786,Building Permit,Issued,2/22/2019,Residential | Addition | 0,"1636 MILVIA St, BERKELEY, CA 94709",2500,"058
217201100",,,Voluntary Seismic - Shear walls. Not for Transfer Tax Rebate.
B2019-00787,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"1386 GILMAN St,
BERKELEY, CA 94706",14000,"060
242300200",GOLDEN RESTORE INC.,"3551 JOAQUIN MILLER RD, OAKLAND, CA, CA94602-2649","New roof with asphalt shingles, electrical repair to replace device outlets and plumbing repair to exterior valve head."
B2019-00789,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"1152 MILLER Ave,
BERKELEY, CA 94708",3000,"063
298300700",,,To final remaining work under permit #B2000-02962
B2019-00795,Building Permit,Issued,2/22/2019,Residential | Alteration | 0,"1160 EUCLID Ave,
BERKELEY, CA 94708",0,"061
255104600",SERVICE CHAMPIONS,"7020 COMMERCE DR, PLEASANTON, CA, CA94588","Replace furnace 80% 70K in ( Basement) Duct 7 supply , 1 return and 50 Gallon Water Heater."
B2019-00803,Building Permit,Issued,2/25/2019,Residential | Alteration | 1,"1419 CEDAR St,
BERKELEY, CA 94702",10000,"059
228612200",MARIUS CONSTRUCTION,"1447 MONDANA PL, PITTSBURG, CA, CA94565-5115","Remove floor and vanity, relocate toilet, new light, new floor, new vanity, new paint. Bathroom remodel and relocate toilet."
B2019-00804,Building Permit,Issued,2/27/2019,Commercial | Alteration | 1,"2956 COLLEGE Ave,
BERKELEY, CA 94705",5000,"052
156801101","HORIZON RETAIL CONSTRUCTION, I","9999 E EXPOLORATION CT, STURTEVANT, WI, WI53177",Non-structural interior demo for future T.I.
B2019-00807,Building Permit,Issued,2/25/2019,Residential | Alteration | 0,"1321 ORDWAY St,
BERKELEY, CA 94702",300,"060
242301600",,,"New permit to complete work under expired permit B2016-03981. Remaining work: insulation, drywall, kitchen and stucco."
B2019-00808,Building Permit,Issued,2/25/2019,Residential | Alteration | 0,"48 SENIOR Ave,
BERKELEY, CA 94708",0,"060
248901900",DOVE'S SERVICES INC,"PO BOX 2061, SAN LEANDRO, CA, CA94577-0206","Replace furnace 135,000 btu's - in same location in basement"
B2019-00811,Building Permit,Issued,2/25/2019,Residential | Alteration | 0,"910 CRAGMONT Ave,
BERKELEY, CA 94708",0,"063
297301800",CERTIFIED HEATING AND AIR CONDITIONING,"1612 AMBER LANE, BRENTWOOD, CA, CA94513",Replace furnace 80%
B2019-00813,Building Permit,Issued,2/25/2019,Residential | Alteration | 0,"1411 ALCATRAZ Ave A, BERKELEY, CA 94702",0,"052
151901100",,,Replace (e) devices wire smoke detectors
B2019-00814,Building Permit,Issued,2/25/2019,Residential | Alteration | 0,"2717 ALCATRAZ Ave,
BERKELEY, CA 94705",25000,"052
156308002",,,"Kitchen remodel to include new cabinets, flooring, lighting, counters and partial non-load bearing wall removal."
B2019-00816,Building Permit,Issued,2/25/2019,Commercial | Alteration | 0,"824 ASHBY Ave,
BERKELEY, CA 94710",0,"053
163500101",,,"Install new 165FT, 2 inch, plexco gas line from existing line (in the street on Folger Ave) to 824 Ashby. Line will serve future gas meter & furnace."
B2019-00818,Building Permit,Issued,2/25/2019,Residential | Alteration | 0,"1384 HENRY St,
BERKELEY, CA 94709",0,"060
245304400",WATER HEATERS MASTERS INC,"2330 BATES AVE STE D5, CONCORD, CA, CA94520-1229",Replace water heater and gas pipe repair to dryer.
B2019-00821,Building Permit,Issued,2/25/2019,Residential | Alteration | 0,"50 LATHAM Ln, BERKELEY, CA 94708",6000,"063
297900400",GARDEN ARCHITECTURE,"3014 1/2 BENVENUE, BERKELEY, CA, CA94705",Remove and replace concrete slab in attached garage. Fire Zone 2 Property.
B2019-00822,Building Permit,Issued,2/27/2019,Residential | Alteration | 0,"2923 FULTON St,
BERKELEY, CA 94705",0,"052
158101800",,,Reconfigure plumbing for (2) bathrooms.
B2019-00823,Building Permit,Finaled,2/27/2019,Residential | Alteration | 0,"1505 KEONCREST Dr,
BERKELEY, CA 94702",0,"059
228609500",SUNWORKS RENEWABLE ENERGY PROJECTS,"477 VALLEY WAY, MILPITAS, CA, CA95035",Install 1.6KW PV solar panels (5 modules) on the roof.
B2019-00825,Building Permit,Issued,2/26/2019,Residential | Alteration | 0,"2427 SAN PABLO Ave A, BERKELEY, CA 94702",0,"056
192802200",,,Installation of 30 gallon natural gas water heater in Unit A per housing case # H2018-00492 item #6.
