Name,Location,StartDate,LastUpdate,Type,Type_Level,Description,Owner
1301 Shattuck Ave,1301 Shattuck Ave,11/19/2019,12/09/2019,Commercial,Commercial,"On this project at 1301 Shattuck Ave, Berkeley, CA 94709 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2959 College Ave,2959 College Ave,07/13/2020,10/26/2020,Commercial,Commercial,"On this project at 2959 College Ave, Berkeley, CA 94705 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1312 Bancroft Way,1312 Bancroft Way,12/04/2019,01/05/2021,Residential,Residential,"On this project at 1312 Bancroft Way, Berkeley, CA 94702 there have been 0 permits filed, 1 preliminary notice  exchanged, 31 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1000 Keeler Ave,1000 Keeler Ave,12/03/2020,04/11/2022,Residential,Residential,"On this project at 1000 Keeler Ave, Berkeley, CA 94708 there have been 0 permits filed, 2 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1731 4th St,1731 4th St,01/29/2020,02/09/2021,Commercial,Commercial,"On this project at 1731 4th St, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2700 Hearst Ave,2700 Hearst Ave,07/17/2020,12/30/2020,Commercial,Commercial,"On this project at 2700 Hearst Ave, Berkeley, CA 94720 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
2621 10th St,2621 10th St,01/28/2020,12/20/2021,Commercial,Commercial,"On this project at 2621 10th St, Berkeley, CA 94710 there have been 0 permits filed, 10 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Kaiser Foundation Health Plan
2910 7th St,2910 7th St,04/23/2020,08/25/2022,Commercial,Commercial,"On this project at 2910 7th St, Berkeley, CA 94710 there have been 0 permits filed, 6 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Emery Station Joint Venture LLC
2100 Milvia St,2100 Milvia St,05/06/2020,05/31/2023,Commercial,Commercial,"On this project at 2100 Milvia St, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2129 Shattuck Ave,2129 Shattuck Ave,03/09/2019,09/26/2022,Commercial,Commercial,"On this project at 2129 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 14 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 17 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Downtown Hotel Owner
2955 Claremont Ave,2955 Claremont Ave,06/09/2020,02/20/2021,Commercial,Commercial,"On this project at 2955 Claremont Ave, Berkeley, CA 94705 there have been 0 permits filed, 2 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
999 Anthony St,999 Anthony St,05/13/2020,07/30/2021,Commercial,Commercial,"On this project at 999 Anthony St, Berkeley, CA 94710 there have been 0 permits filed, 6 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",2929 Seventh Street LLC
830 Regal Rd,830 Regal Rd,06/19/2020,09/28/2020,State / County,State / County,"On this project at 830 Regal Rd, Berkeley, CA 94708 there have been 0 permits filed, 3 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
1930 Allston Way,1930 Allston Way,08/27/2020,06/29/2023,Commercial,Commercial,"On this project at 1930 Allston Way, Berkeley, CA 94704 there have been 0 permits filed, 7 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
1536 Shattuck Ave,1536 Shattuck Ave,05/19/2020,08/19/2020,Commercial,Commercial,"On this project at 1536 Shattuck Ave, Berkeley, CA 94709 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1733 4th St,1733 4th St,07/08/2020,04/19/2022,Commercial,Commercial,"On this project at 1733 4th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Gap Inc.
1255 Eastshore Hwy,1255 Eastshore Hwy,04/23/2018,04/24/2018,Commercial,Commercial,"On this project at 1255 Eastshore Hwy, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2556 Telegraph Ave,2556 Telegraph Ave,07/24/2020,01/30/2023,Commercial,Commercial,"On this project at 2556 Telegraph Ave, Berkeley, CA 94704 there have been 2 permits filed, 9 preliminary notices  exchanged, 11 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Tri Pointe Homes
1695 Eastshore Hwy,1695 Eastshore Hwy,04/25/2018,10/12/2022,Commercial,Commercial,"On this project at 1695 Eastshore Hwy, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Disney
1725 Eastshore Hwy,1725 Eastshore Hwy,03/25/2019,06/02/2023,Commercial,Commercial,"On this project at 1725 Eastshore Hwy, Berkeley, CA 94710 there have been 1 permit filed, 5 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Kaiser Foundation Health Plan
2012 Berkeley Way,2012 Berkeley Way,04/25/2018,11/23/2022,Commercial,Commercial,"On this project at 2012 Berkeley Way, Berkeley, CA 94704 there have been 0 permits filed, 16 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 2 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2100 San Pablo Ave,2100 San Pablo Ave,,,,,"On this project at 2100 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2001 Ashby Ave,2001 Ashby Ave,03/18/2022,06/23/2023,Residential,Residential,"On this project at 2001 Ashby Ave, Berkeley, CA 94703 there have been 0 permits filed, 7 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
1601 Oxford St,1601 Oxford St,09/04/2020,05/17/2022,Commercial,Commercial,"On this project at 1601 Oxford St, Berkeley, CA 94709 there have been 0 permits filed, 7 preliminary notices  exchanged, 9 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Satellite Affordable Housing Associates (SAHA)
715 Santa Barbara Rd,715 Santa Barbara Rd,09/22/2020,01/12/2022,Residential,Residential,"On this project at 715 Santa Barbara Rd, Berkeley, CA 94707 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 2 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2176 Kittredge St,2176 Kittredge St,09/17/2020,07/07/2023,Commercial,Commercial,"On this project at 2176 Kittredge St, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 22 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2633 Etna St,2633 Etna St,09/29/2020,12/22/2021,Residential,Residential,"On this project at 2633 Etna St, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1490 Grizzly Peak Blvd,1490 Grizzly Peak Blvd,11/09/2020,01/24/2023,Residential,Residential,"On this project at 1490 Grizzly Peak Blvd, Berkeley, CA 94708 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
3206 College Ave,3206 College Ave,03/18/2021,03/29/2021,Commercial,Commercial,"On this project at 3206 College Ave, Berkeley, CA 94705 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
,,12/09/2020,10/05/2021,Commercial,Commercial,"On this project at , Berkeley, CA 94702 there have been 0 permits filed, 0 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Shorenstein Properties
699 Virginia St,699 Virginia St,06/14/2022,07/03/2023,Commercial,Commercial,"On this project at 699 Virginia St, Berkeley, CA 94710 there have been 1 permit filed, 20 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Richmond (CA)
1 Cyclotron Rd Bldg 37,1 Cyclotron Rd Bldg 37,12/18/2017,11/03/2020,State / County,State / County,"On this project at 1 Cyclotron Rd Bldg 37, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2246 5th St,2246 5th St,01/05/2021,03/24/2022,Commercial,Commercial,"On this project at 2246 5th St, Berkeley, CA 94710 there have been 1 permit filed, 8 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
1910 Oxford St,1910 Oxford St,02/10/2021,05/04/2022,Commercial,Commercial,"On this project at 1910 Oxford St, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Dinerstein Companies (TDC)
One Cyclotron rd,One Cyclotron rd,,,,,"On this project at One Cyclotron rd, Berkeley, CA 94720 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2810 7th St,2810 7th St,04/22/2022,05/12/2023,Commercial,Commercial,"On this project at 2810 7th St, Berkeley, CA 94710 there have been 0 permits filed, 8 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2000 Dwight Way,2000 Dwight Way,04/08/2021,07/06/2023,Residential,Residential,"On this project at 2000 Dwight Way, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 13 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1717 University Ave,1717 University Ave,07/02/2021,05/18/2023,Residential,Residential,"On this project at 1717 University Ave, Berkeley, CA 94703 there have been 0 permits filed, 7 preliminary notices  exchanged, 46 lien waivers exchanged between companies and 4 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",1717 University Associates LLC
2009 Addison St,2009 Addison St,05/06/2021,09/13/2022,Commercial,Commercial,"On this project at 2009 Addison St, Berkeley, CA 94704 there have been 0 permits filed, 10 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1923 9th St,1923 9th St,05/18/2021,07/26/2022,Commercial,Commercial,"On this project at 1923 9th St, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2229 4th St,2229 4th St,07/20/2021,04/05/2022,Commercial,Commercial,"On this project at 2229 4th St, Berkeley, CA 94710 there have been 0 permits filed, 7 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
1205 Parker St,1205 Parker St,05/21/2021,04/19/2022,Residential,Residential,"On this project at 1205 Parker St, Berkeley, CA 94702 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
University Dr,University Dr,06/09/2021,03/17/2023,Other,Other,"On this project at University Dr, Berkeley, CA 94720 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
2118 MILVIA ST,2118 MILVIA ST,09/23/2021,06/26/2023,Commercial,Commercial,"On this project at 2118 MILVIA ST, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 22 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Peralta Community College District
2222 5th St,2222 5th St,06/24/2021,03/23/2023,Commercial,Commercial,"On this project at 2222 5th St, Berkeley, CA 94710 there have been 0 permits filed, 4 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
600 Addison Street,600 Addison Street,07/29/2021,06/30/2023,Commercial,Commercial,"On this project at 600 Addison Street, Berkeley, CA 94710 there have been 4 permits filed, 18 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Aquatic Park Science Center II LLC
2621 10th St 1050,2621 10th St 1050,06/23/2021,11/29/2021,Commercial,Commercial,"On this project at 2621 10th St 1050, Berkeley, CA 94710 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Kaiser Permanente
670 Santa Barbara Rd,670 Santa Barbara Rd,12/10/2021,01/28/2022,Commercial,Commercial,"On this project at 670 Santa Barbara Rd, Berkeley, CA 94707 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1322 Glendale Ave,1322 Glendale Ave,09/09/2021,11/24/2021,State / County,State / County,"On this project at 1322 Glendale Ave, Berkeley, CA 94708 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
1200 5th St,1200 5th St,10/21/2021,11/30/2021,Commercial,Commercial,"On this project at 1200 5th St, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
90 Vicente Rd,90 Vicente Rd,08/31/2021,02/01/2022,Commercial,Commercial,"On this project at 90 Vicente Rd, Berkeley, CA 94705 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2150 Kittredge St,2150 Kittredge St,11/12/2021,07/06/2023,Residential,Residential,"On this project at 2150 Kittredge St, Berkeley, CA 94704 there have been 0 permits filed, 8 preliminary notices  exchanged, 13 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
282 Berkeley Park Blvd,282 Berkeley Park Blvd,12/22/2021,05/20/2022,State / County,State / County,"On this project at 282 Berkeley Park Blvd, Berkeley, CA 94707 there have been 0 permits filed, 3 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",East Bay Municipal Utility District
3015 San Pablo Ave,3015 San Pablo Ave,04/26/2018,01/28/2022,Commercial,Commercial,"On this project at 3015 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
3100 San Pablo Ave,3100 San Pablo Ave,04/25/2018,07/10/2023,Commercial,Commercial,"On this project at 3100 San Pablo Ave, Berkeley, CA 94702 there have been 2 permits filed, 22 preliminary notices  exchanged, 55 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Guerbet Malinckrodt Pharmaceuticals
SOUTH HALL RD,SOUTH HALL RD,12/21/2021,12/23/2021,Commercial,Commercial,"On this project at SOUTH HALL RD, Berkeley, CA 94720 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
SOUTH HALL RD,SOUTH HALL RD,11/05/2021,05/23/2022,State / County,State / County,"On this project at SOUTH HALL RD, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2100 San Pablo Ave,2100 San Pablo Ave,08/11/2020,11/22/2022,Commercial,Commercial,"On this project at 2100 San Pablo Ave, Berkeley, CA 94702 there have been 1 permit filed, 17 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","2100 San Pablo Holdings, LLC"
1884 Thousand Oaks Blvd,1884 Thousand Oaks Blvd,04/27/2021,03/02/2022,Commercial,Commercial,"On this project at 1884 Thousand Oaks Blvd, Berkeley, CA 94707 there have been 0 permits filed, 2 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2022 San Pablo Ave,2022 San Pablo Ave,04/25/2018,04/06/2022,Commercial,Commercial,"On this project at 2022 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 4 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1500 San Pablo Ave,1500 San Pablo Ave,04/24/2018,06/03/2020,Commercial,Commercial,"On this project at 1500 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 10 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Shorenstein Properties
3006 San Pablo Ave,3006 San Pablo Ave,09/21/2021,06/08/2023,Commercial,Commercial,"On this project at 3006 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 6 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
2229 4th St 2233,2229 4th St 2233,10/28/2021,06/29/2023,Commercial,Commercial,"On this project at 2229 4th St 2233, Berkeley, CA 94710 there have been 0 permits filed, 2 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",SteelWave LLC
2545-2581 Bancroft Way,2545-2581 Bancroft Way,09/14/2021,11/19/2021,State / County,State / County,"On this project at 2545-2581 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
1442 Delaware St,1442 Delaware St,09/25/2019,02/18/2020,Residential,Residential,"On this project at 1442 Delaware St, Berkeley, CA 94702 there have been 0 permits filed, 2 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 2 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2747 San Pablo Ave,2747 San Pablo Ave,04/24/2018,04/23/2020,Commercial,Commercial,"On this project at 2747 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2748 San Pablo Ave,2748 San Pablo Ave,03/23/2018,01/02/2020,Commercial,Commercial,"On this project at 2748 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 6 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Satellite Affordable Housing Associates (SAHA)
3000 San Pablo Ave,3000 San Pablo Ave,02/14/2019,11/22/2022,Commercial,Commercial,"On this project at 3000 San Pablo Ave, Berkeley, CA 94702 there have been 0 permits filed, 3 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
1625 Shattuck Ave Ste 102,1625 Shattuck Ave Ste 102,04/25/2018,04/26/2018,Commercial,Commercial,"On this project at 1625 Shattuck Ave Ste 102, Berkeley, CA 94709 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
743 Hilldale Ave,743 Hilldale Ave,03/10/2022,03/25/2022,Residential,Residential,"On this project at 743 Hilldale Ave, Berkeley, CA 94708 there have been 0 permits filed, 0 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1950 Oxford St,1950 Oxford St,02/17/2022,03/27/2023,State / County,State / County,"On this project at 1950 Oxford St, Berkeley, CA 94704 there have been 0 permits filed, 5 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
2145 University Ave,2145 University Ave,03/03/2022,03/02/2023,Commercial,Commercial,"On this project at 2145 University Ave, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",1Life Healthcare Inc.
2028 Bancroft Way,2028 Bancroft Way,03/18/2022,07/05/2023,Commercial,Commercial,"On this project at 2028 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 7 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2590 Bancroft Way,2590 Bancroft Way,03/17/2022,06/23/2023,Residential,Residential,"On this project at 2590 Bancroft Way, Berkeley, CA 94704 there have been 0 permits filed, 10 preliminary notices  exchanged, 23 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1951 Shattuck Ave,1951 Shattuck Ave,04/05/2022,06/29/2023,Commercial,Commercial,"On this project at 1951 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 13 preliminary notices  exchanged, 6 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","1951 Shattuck, LLC"
640 Santa Barbara Rd,640 Santa Barbara Rd,03/25/2022,05/17/2022,Residential,Residential,"On this project at 640 Santa Barbara Rd, Berkeley, CA 94707 there have been 0 permits filed, 2 preliminary notices  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1970 Oxford St,1970 Oxford St,04/01/2022,04/05/2022,Commercial,Commercial,"On this project at 1970 Oxford St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
2425 Stuart St,2425 Stuart St,05/04/2022,02/25/2023,Federal,Federal,"On this project at 2425 Stuart St, Berkeley, CA 94705 there have been 0 permits filed, 3 preliminary notices  exchanged, 12 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Berkeley Unified School District
2099 Martin Luther King Jr Way,2099 Martin Luther King Jr Way,05/11/2022,07/08/2023,Commercial,Commercial,"On this project at 2099 Martin Luther King Jr Way, Berkeley, CA 94704 there have been 2 permits filed, 14 preliminary notices  exchanged, 27 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1057 eastshore hwy,1057 eastshore hwy,04/25/2018,10/04/2022,Commercial,Commercial,"On this project at 1057 eastshore hwy, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 8 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
