Permit.Number,Status,Date.Issued,Building.Type,Work.Type,StreetNumber,StreetName,StreetType,Valuation,Work.Description,Property.Address
B2021-00356,Issued,02/09/2021,Residential,Alteration,2528,DANA,St,0.0,"200 Amp overhead service, 4 units, 1 house panel, no new loads.  Relocation of service to the front facing the sidewalk.","2528 DANA St, Berkeley, CA"
B2021-00358,Issued,01/28/2021,Residential,Alteration,1522,ADDISON,St,0.0,Electric Meter Release,"1522 ADDISON St, Berkeley, CA"
B2021-00360,Issued,01/29/2021,Residential,Alteration,3012,WHEELER,St,0.0,Panel upgrade to 200Amps,"3012 WHEELER St, Berkeley, CA"
B2021-00362,Issued,05/27/2021,Residential,Alteration,1,COLUMBIA,Cir,55000.0,"Kitchen remodel within existing walls. Bring electrical up to code, new
appliances, cabinets, countertops and backsplash.  Fire zone 2","1 COLUMBIA Cir, Berkeley, CA"
B2021-00367,Issued,02/02/2021,Residential,Alteration,2840,STANTON,St,6000.0,"Replace walk in tub to walk in shower (32""x52"") with (E) plumbing, only replace valve & drain, remove walk in tub and cancel electric.","2840 STANTON St, Berkeley, CA"
B2021-00369,Issued,05/13/2021,Residential,New,1208,PERALTA,Ave,200000.0,Install 663 sq ft manufactured home as an accessory dwelling unit,"1208 PERALTA Ave, Berkeley, CA"
B2021-00372,Issued,01/29/2021,Residential,Alteration,3021,WHEELER,St,0.0,200 A Main panel upgrade & PG&E service recheck.,"3021 WHEELER St, Berkeley, CA"
B2021-00373,Issued,05/03/2021,Residential,Addition/Alteration,1514,M L KING JR,Way,160000.0,1 story 462 s.f. living room addition and conversion of porch into a dining room. Trellis structure and patio. Electrical lighting and receptacles to living and dining rooms.,"1514 M L KING JR Way, Berkeley, CA"
B2021-00376,Issued,03/11/2021,Residential,Alteration,1333,WARD,St,16950.0,Replacing 2 retrofit windows and 6 insert install windows like for like.,"1333 WARD St, Berkeley, CA"
B2021-00378,Issued,02/02/2021,Residential,Alteration,1201,HOPKINS,St,9000.0,Reroof-remove old roof and install asphalt underlayment and asphalt shingles.,"1201 HOPKINS St, Berkeley, CA"
B2021-00385,Issued,04/01/2021,Residential,Alteration,1771,HIGHLAND,Pl,65000.0,Interior only renovation of apartment unit 207,"1771 HIGHLAND Pl, Berkeley, CA"
B2021-00388,Issued,05/04/2021,Residential,Alteration,2454,PRINCE,St,50000.0,"Alteration to existing first-floor kitchen, bath, and laundry room.
**7/26/2021--Elec svc upgrade to 200amps added**","2454 PRINCE St, Berkeley, CA"
B2021-00389,Issued,03/01/2021,Residential,Alteration,1764,SONOMA,Ave,0.0,Install 6.75 KW PV solar panels (8 modules) on the roof with a two (2) Energy Storage Systems (32 AMPs total). Change existing 125 AMP subpanel to backup loads panel.,"1764 SONOMA Ave, Berkeley, CA"
B2021-00390,Issued,02/02/2021,Residential,Alteration,1141,SHATTUCK,Ave,0.0,Installation of  a 200 amp temporary power pole for construction power at 1141 Shattuck Ave. Per the request of Matt Doughty (inspector) for in progress project under Permit #B2019-05588. ,"1141 SHATTUCK Ave, Berkeley, CA"
B2021-00397,Issued,02/03/2021,Residential,Alteration,1300,ALCATRAZ,Ave,0.0,Install Tesla EV wall charger on outside of parking area.,"1300 ALCATRAZ Ave, Berkeley, CA"
B2021-00399,Issued,07/15/2021,Residential,Alteration,5,TANGLEWOOD,Rd,175000.0,Kitchen remodel and bedroom conversion to family room.,"5 TANGLEWOOD Rd, Berkeley, CA"
B2021-00400,Issued,02/11/2021,Residential,Alteration,1611,CURTIS,St,2502.0,"Replace 2 retrofit fibrex windows, like for like, same location.","1611 CURTIS St, Berkeley, CA"
B2021-00401,Issued,02/09/2021,Residential,Alteration,2211,ROSE,St,0.0,200A main panel upgrade.,"2211 ROSE St, Berkeley, CA"
B2021-00402,Issued,05/13/2021,Residential,Addition/Alteration,91,WHITAKER,Ave,400000.0,"Rennovation & 400 sq ft addition to existing residence. Remove and replace kitchen at main level. Extend main level by 3ft., raise main level floor. Remove existing laundry, bathroom, bedroom and storage, replace with 2 bathrooms, 2 bedrooms and seating area, 6ft porch below main level deck.","91 WHITAKER Ave, Berkeley, CA"
B2021-00402-REV01,Issued,12/09/2021,Residential,Addition/Alteration,91,WHITAKER,Ave,400000.0,11/30/2021: Update to revision form submitted on 10/18/2021 - Submission in Rev01 for approval of deferral item of roof trusses only. Stairs and guardrails corrections to be submitted in a future deferral revision submission.,"91 WHITAKER Ave, Berkeley, CA"
B2021-00402-REV02,Issued,05/05/2022,Residential,Alteration,91,WHITAKER,Ave,400000.0,"Revision for deferred items. Balcony guardrail, stairs framing and stairs guardrail. ***No Change in Valuation***","91 WHITAKER Ave, Berkeley, CA"
B2021-00405,Issued,03/17/2021,Residential,Alteration,1518,M L KING JR,Way,35000.0,"Bathroom Remodel, shift non bearing wall to allow for larger shower stall. Replace window in kind","1518 M L KING JR Way, Berkeley, CA"
B2021-00408,Issued,02/18/2021,Residential,Alteration,2847,PRINCE,St,15000.0,"Voluntary seismic upgrade of original area of main house. Upgrade will include bolting, sheer wall, hold downs, blocks and clips. Repair front steps.","2847 PRINCE St, Berkeley, CA"
B2021-00410,Issued,03/15/2021,Residential,Alteration,2711,LE CONTE,Ave,3809.0,Deck repairs. Remove and replace rotted deckboards. Remove and replace waterprofing membrane with associated flashing.,"2711 LE CONTE Ave, Berkeley, CA"
B2021-00411,Issued,05/13/2021,Residential,Alteration,1530,BELVEDERE,Ave,27000.0,Add new bathroom to den/office in basement.,"1530 BELVEDERE Ave, Berkeley, CA"
B2021-00414,Issued,02/24/2021,Mixed Use,New,2009,ADDISON,St,1500000.0,"Grading, shoring, and foundations only. Includes under ground
electrical and plumbing work. For the new 7 story mixed use residential (artist
housing) for Berkeley Repertory Theater under permit B2019-02956.: Use
Permit ZP2017-0004","2009 ADDISON St, Berkeley, CA"
B2021-00420,Issued,02/25/2021,Residential,Alteration,1701,FAIRVIEW,St,8500.0,Construction of new deck with stairs to grade at rear of house. Previous deck removed without permit.,"1701 FAIRVIEW St, Berkeley, CA"
B2021-00423,Issued,06/22/2021,Residential,Alteration,2500,DURANT,Ave,136000.0,"Interior only renovation of apartment units 203, 303.","2500 DURANT Ave, Berkeley, CA"
B2021-00425,Issued,03/17/2022,Residential,Alteration,1124,THE ALAMEDA,,100000.0,New concrete grade level pool with auto safety cover and perimeter retaining wall on three sides,
B2021-00426,Issued,03/02/2021,Residential,Alteration,1641,CORNELL,Ave,14879.0,Engineered Seismic Retrofit at crawl space cripple walls in accordance with CBC Chapter A3 for the Earthquake Brace & Bolt Program. Qualifies for Transfer Tax Rebate.,"1641 CORNELL Ave, Berkeley, CA"
B2021-00428,Issued,03/02/2021,Residential,Alteration,1516,HOPKINS,St,9210.0,Seismic Retrofit in accordance with CBC Chapter A3 for Transfer Tax Rebate.,"1516 HOPKINS St, Berkeley, CA"
B2021-00429,Issued,03/02/2021,Residential,Alteration,2912,DEAKIN,St,15675.0,Seismic retrofit in accordance with CBC Chapter A3 for Transfer Tax Rebate.,"2912 DEAKIN St, Berkeley, CA"
B2021-00430,Issued,04/14/2021,Residential,Alteration,2450,WEST,St,9262.0,Seismic work in accordance with CBC Chapter A3 for Transfer Tax Rebate.,"2450 WEST St, Berkeley, CA"
B2021-00431,Issued,03/02/2021,Residential,Alteration,1812,CAPISTRANO,Ave,11876.0,Voluntary Seismic foundation Retrofit not for Transfer Tax Rebate. Fire Zone 2 Property,"1812 CAPISTRANO Ave, Berkeley, CA"
B2021-00432,Issued,03/01/2021,Residential,Alteration,2410,BLAKE,St,0.0,Install 3.96 KW PV solar panels (11 modules) on the roof.,"2410 BLAKE St, Berkeley, CA"
B2021-00434,Issued,03/01/2021,Residential,Alteration,1327,CARLETON,St,7099.0,Replace one (1) retrofit casement window; same size and location.,"1327 CARLETON St, Berkeley, CA"
B2021-00435,Issued,06/07/2022,Residential,Addition/Alteration,1210,CORNELL,Ave,310000.0,"Two story addition to replace back portion of existing house that is constructed on a concrete slab, and is structurally unsound.  Some improvements to existing portion of house that is to remain.","1210 CORNELL Ave, Berkeley, CA"
B2021-00436,Issued,03/04/2021,Residential,Alteration,1334,PARKER,St,0.0,upgrading the current 100A main service panel to 200A,"1334 PARKER St, Berkeley, CA"
B2021-00438,Issued,02/24/2021,Residential,Alteration,1636,CHESTNUT,St,0.0,Install electric heat pump.,"1636 CHESTNUT St, Berkeley, CA"
B2021-00442,Issued,02/05/2021,Residential,Alteration,2436,RUSSELL,St,0.0,200A main panel upgrade.,"2436 RUSSELL St, Berkeley, CA"
B2021-00443,Issued,05/06/2021,Residential,Alteration,1711,ASHBY,Ave,62000.0,"Remodel kitchen, laundry, bathroom, add powder room, and old laundry, repair deck, replace windows, add dog wash station, replace doors and garage doors. Full unit re-wiring per inspector EF. Electric meter replacement 100 amps.","1711 ASHBY Ave, Berkeley, CA"
B2021-00443-REV01,Issued,06/04/2021,Residential,Alteration,1711,ASHBY,Ave,0.0,"Remove previously approved side yard deck and French door from scope of work. Remove deck and French door, existing window to remain. Deck details removed from scope. No increase in valuation.","1711 ASHBY Ave, Berkeley, CA"
B2021-00443-REV02,Issued,07/29/2021,Residential,Alteration,1711,ASHBY,Ave,0.0,Reduce the kitchen remodel by 40% cabinetry and add laundry to bathroom.  No change in valution.,"1711 ASHBY Ave, Berkeley, CA"
B2021-00443-REV03,Issued,10/13/2021,Residential,Alteration,1711,ASHBY,Ave,0.0,Revise kitchen layout. Remove portion of wall between kitchen and living room.  Revise bathroom layout. Remove IAQ fan specification from A series. No increase in valuation.,"1711 ASHBY Ave, Berkeley, CA"
B2021-00445,Issued,05/26/2021,Residential,Alteration,2935,ACTON,St,50000.0,"Remodel Kitchen, remodel 1 bathroom, replace all windows, add sub panel and re-wiring. Add roof deck over (E) garage, add shower & bathtub to level 2 powder room to convert to full bathroom.","2935 ACTON St, Berkeley, CA"
B2021-00445-REV01,Issued,11/16/2021,Residential,Alteration,2935,ACTON,St,50000.0,"Remove roof deck and add small balcony to 2nd floor. Add window to utility room.  Add small balcony off dining room.  Reduce project valuation $15,000. Originally $50,000 to $35,000","2935 ACTON St, Berkeley, CA"
B2021-00446,Issued,02/08/2021,Residential,Alteration,1731,CHANNING,Way,0.0,Add temporary Power Pole to existing permit.,"1731 CHANNING Way, Berkeley, CA"
B2021-00448,Issued,05/24/2021,Residential,New,3020,HARPER,St,80000.0,Construction of a new accessory dwelling (542sqft) unit at rear yard. Existing front house to remain,"3020 HARPER St, Berkeley, CA"
B2021-00454,Issued,05/26/2021,Residential,Demolition,915,REGAL,Rd,1500.0,Demolish garage. Fire Zone 2 Property. (See permit B2021-00455 for new Accessory Dwelling Unit.),"915 REGAL Rd, Berkeley, CA"
B2021-00455,Issued,08/05/2021,Residential,New,915,REGAL,Rd,82800.0,New 552 SqFt Accessory Dwelling Unit in rear. New exterior retaining wall. Fire Zone 2 Property. (See Permit #B2021-00454 for demolition.),"915 REGAL Rd, Berkeley, CA"
B2021-00456,Issued,11/22/2021,Residential,Alteration,1977,YOSEMITE,Rd,45000.0,"Demolish existing front stone stairs & retaining walls.  Within the same footprint, build new concrete stairs with stone retaining walls at the bottom flight & concrete retaining walls at the top flight.","1977 YOSEMITE Rd, Berkeley, CA"
B2021-00457,Issued,04/29/2021,Residential,Alteration,2715,CHANNING,Way,27000.0,"In-kind deck replacement, entry into a unit is not required to access the decks.","2715 CHANNING Way, Berkeley, CA"
B2021-00458,Issued,02/16/2021,Residential,Alteration,1258,BURNETT,St,40137.0,Replacing 15 retrofit windows,"1258 BURNETT St, Berkeley, CA"
B2021-00465,Issued,06/11/2021,Residential,Alteration,2840,CLAREMONT,Blvd,15000.0,"Install new front fence, driveway fence, automated driveway gate and north & south pedestrian gates.","2840 CLAREMONT Blvd, Berkeley, CA"
B2021-00466,Issued,02/05/2021,Residential,Alteration,732,NEILSON,St,0.0,Replace existing 50gal water heater with new 65gal heat pump water heater,"732 NEILSON St, Berkeley, CA"
B2021-00467,Issued,02/26/2021,Residential,Alteration,2924,FLORENCE,St,7500.0,"Install tankless water heater on the exterior. Replace kitchen cabinets, sink & faucet.","2924 FLORENCE St, Berkeley, CA"
B2021-00469,Issued,02/09/2021,Residential,Alteration,1747,SPRUCE,St,0.0,Ground (17) receptacles throughout unit. Install (1) new 20A circuit and receptacle for owners washer. Install (5) new receptacles and (3) 120V 15A AFCI circuits.,"1747 SPRUCE St, Berkeley, CA"
B2021-00470,Issued,06/21/2021,Residential,Alteration,1639,JULIA,St,15000.0,"Convert Accessory Dwelling Unit kitchen to new Junior Accessory Dwelling Unit. Remove existing appliances & cap utilities. Remove upper cabinets & range vent. Replace existing sink & cabinets, build partition wall to close hallway opening.","1639 JULIA St, Berkeley, CA"
B2021-00471,Issued,02/11/2021,Residential,Alteration,21,MARYLAND,Ave,41000.0,"Remove & replace front patio, same location.","21 MARYLAND Ave, Berkeley, CA"
B2021-00476,Issued,02/25/2021,Residential,Alteration,1412,HARMON,St,5000.0,Seismic retrofit Plan A,"1412 HARMON St, Berkeley, CA"
B2021-00477,Issued,06/24/2021,Residential,Alteration,1041,MILLER,Ave,31000.0,Voluntary partial foundation replacement and seismic upgrade to basement level for transfer tax rebate.,"1041 MILLER Ave, Berkeley, CA"
B2021-00477-REV01,Issued,09/22/2021,Residential,Alteration,1041,MILLER,Ave,0.0,"As a result of the discovery and inspection of previous retrofit work, Reduce scope of work. Existing shear could be used/modified. No increase in valuation.","1041 MILLER Ave, Berkeley, CA"
B2021-00479,Issued,08/06/2021,Residential,Alteration,1804,TENTH,St,18000.0,Dry rot repair and in-kind replacement of two existing rear emergency stair exits on the right hand side of the building.,"1804 TENTH St, Berkeley, CA"
B2021-00482,Issued,02/09/2021,Residential,Alteration,2239,BROWNING,St,8500.0,"Roof replacement, remove 2 layers of roofing, install OSB & new comp shingle roof.","2239 BROWNING St, Berkeley, CA"
B2021-00483,Issued,02/19/2021,Residential,Alteration,977,KEELER,Ave,0.0,Drainage system.,"977 KEELER Ave, Berkeley, CA"
B2021-00484,Issued,09/15/2022,Residential,Alteration,516,SANTA BARBARA,Rd,70000.0,Kitchen remodel & office/laundry remodel. Move kitchen to original location.  Property in Fire Zone 2.,"516 SANTA BARBARA Rd, Berkeley, CA"
B2021-00485,Issued,04/29/2021,Residential,Alteration,1700,PORTLAND,Ave,23550.0,"Termite repair per Report #8884, Dated Octo 22, 2020. Items 3A, 4A, 5A, 6A, & 6B. Per Report #8899, Dated Oct 26, 2020. Items 4A & 6A. Dry rot repairs.","1700 PORTLAND Ave, Berkeley, CA"
B2021-00487,Issued,02/11/2021,Residential,Alteration,2162,JEFFERSON,Ave,2982.0,Replace (1) door in-kind with Anlin Malibu door.,"2162 JEFFERSON Ave, Berkeley, CA"
B2021-00490,Issued,02/11/2021,Residential,Alteration,2102,JEFFERSON,Ave,3900.0,"In-kind replacement of (1) door and (13) windows with Anlin Del Mar windows, U-factor 0.26","2102 JEFFERSON Ave, Berkeley, CA"
B2021-00491,Issued,03/01/2021,Residential,Alteration,2118,JEFFERSON,Ave,3582.0,"In-kind replacement of (3) windows with Anlin Del Mar windows, U-factor 0.26.","2118 JEFFERSON Ave, Berkeley, CA"
B2021-00492,Issued,03/03/2021,Residential,Alteration,2110,JEFFERSON,Ave,8982.0,Replace like for like eight (8) windows and one door,"2110 JEFFERSON Ave, Berkeley, CA"
B2021-00493,Issued,02/16/2021,Residential,Alteration,1693,SHORT,St,38000.0,Interior kitchen & bath remodel.,"1693 SHORT St, Berkeley, CA"
B2021-00493-REV01,Issued,05/03/2021,Residential,Alteration,1693,SHORT,St,0.0,"Revision to replace sheetrock & upgrade electrical in dining room & office. Relocate range & fridge, change the layout for the bathroom. No increase in valuation.","1693 SHORT St, Berkeley, CA"
B2021-00494,Issued,03/03/2021,Residential,Alteration,2147,CALIFORNIA,St,8982.0,Replace like for like (seven) 7 windows and one (1) door.,"2147 CALIFORNIA St, Berkeley, CA"
B2021-00495,Issued,02/26/2021,Residential,Alteration,2149,CALIFORNIA,St,6982.0,Replace like for like eight (8) windows,"2149 CALIFORNIA St, Berkeley, CA"
B2021-00496,Issued,03/03/2021,Residential,Alteration,2153,CALIFORNIA,St,7982.0,Replace six (6) windows and one (1) door,"2153 CALIFORNIA St, Berkeley, CA"
B2021-00497,Issued,03/03/2021,Residential,Alteration,1606,ADDISON,St,12982.0,Replace thirteen (13) windows and one (1) door,"1606 ADDISON St, Berkeley, CA"
B2021-00498,Issued,03/03/2021,Residential,Alteration,1600,ADDISON,St,18982.0,Replace eighteen (18) windows and one (1) door,"1600 ADDISON St, Berkeley, CA"
B2021-00500,Issued,03/23/2021,Residential,Alteration,1130,HOPKINS,St,12296.0,"Sister existing rafters & install 3.84 KW PV solar panels (13 modules) on the roof with a new 9.8 KWh Energy Storage System, 5 KWh battery & 125 AMP subpanel.","1130 HOPKINS St, Berkeley, CA"
B2021-00500-REV01,Issued,07/19/2021,Residential,Alteration,1130,HOPKINS,St,12296.0,Revision to change the interconnection to land the PV breaker in the existing 200 AMP subpanel in the garage. No increase in valuation.,"1130 HOPKINS St, Berkeley, CA"
B2021-00501,Issued,07/07/2021,Residential,Alteration,1321,ADDISON,St,30000.0,"Repair elevated walkways due to dry rot, add recessed lighting, add handrail at front entry stairs.","1321 ADDISON St, Berkeley, CA"
B2021-00501-REV01,Issued,07/27/2021,Residential,Alteration,1321,ADDISON,St,10000.0,"Revision to change the elevated walkway on second floor to wood members; the steel beams have been eliminated. The elevated deck on the first floor was repaired before the application of this permit and requires no work. A letter drafted by the structural engineer to address the first floor elevated walkway is included. Increase valuation from $20,000 to $30,000.","1321 ADDISON St, Berkeley, CA"
B2021-00504,Issued,04/14/2021,Residential,Alteration,1515,HARMON,St,15000.0,Repair (E) exterior staircase. (See revision B2021-01973.),"1515 HARMON St, Berkeley, CA"
B2021-00506,Issued,02/09/2021,Residential,Alteration,1635,WARD,St,0.0,"1. Replace the existing tankless gas water heater in the attic by an electric STIEBEL ELTRON Tempra 24 Plus on demand water heater and add two 50 Amp circuit breakers in the 200 Amp Service.
2. Install a BOSCH Mini-Tank Water Heater Tronic 3000 (ES 2.5 Gal.) under the kitchen sink.","1635 WARD St, Berkeley, CA"
B2021-00507,Issued,08/11/2021,Residential,Alteration,1560,CAMPUS,Dr,65336.0,"Replace drywall, insulation, bathroom vanity, fixtures, subfloor and flooring.  Property in Fire Zone 2.","1560 CAMPUS Dr, Berkeley, CA"
B2021-00512,Issued,04/06/2021,Residential,Alteration,2927,LORINA,St,0.0,Upgrade the main service panel to 400 AMPs. Replace four (4) 100 AMP meters & one (1) 60 AMP house panel. Install two (2) 100 AMP subpanels & feeds.,"2927 LORINA St, Berkeley, CA"
B2021-00513,Issued,03/16/2021,Residential,Alteration,1524,WOOLSEY,St,4800.0,"in kind fungus dry rot framing repairs to underside of front porch, item 3A-2 of termite report #210086.","1524 WOOLSEY St, Berkeley, CA"
B2021-00515,Issued,01/05/2022,Residential,Alteration,825,DELAWARE,St,1200.0,Install washer & dryer hookups in the kitchen area.,"825 DELAWARE St, Berkeley, CA"
B2021-00517,Issued,02/11/2021,Residential,Alteration,1831,MARIN,Ave,0.0,"Replace, relocate & upgrade main service panel to 200 AMPs. Add dedicated 220V for dryer.","1831 MARIN Ave, Berkeley, CA"
B2021-00518,Issued,02/11/2021,Residential,Alteration,2040,SIXTH,St,0.0,Install 3.240 KW PV solar panels (9 modules) on the roof.,"2040 SIXTH St, Berkeley, CA"
B2021-00519,Issued,04/06/2021,Residential,Alteration,1611,HARMON,St,25000.0,Interior bath remodel. Relocate fixtures. Infill one door & create another.,"1611 HARMON St, Berkeley, CA"
B2021-00522,Issued,02/10/2021,Residential,Alteration,940,ARLINGTON,Ave,10000.0,In-kind repair to fungus dry rot damaged framing at rear deck. Item# 3A of termite report #202392,"940 ARLINGTON Ave, Berkeley, CA"
B2021-00525,Issued,08/24/2021,Residential,New,1920,VINE,St,150000.0,Build new detached three (3) car garage.,"1920 VINE St, Berkeley, CA"
B2021-00526,Issued,08/24/2021,Residential,Addition/Alteration,1920,VINE,St,500000.0,"Remove attached garage and storage room, build new exterior stairs & deck at rear.  Remodel 1920 to include kitchen and bath remodel, remove bedroom to connect kitchen/family room.  Remodel 1922 to include kitchen remodel and convert bathroom into 1.5 baths.  Partial 3rd floor addition, add stairs to attic.","1920 VINE St, Berkeley, CA"
B2021-00526-DEF01,Issued,01/21/2022,Residential,Addition/Alteration,1920,VINE,St,500000.0,Deferred Submittal:  Engineering for Deck & Egress Stairs (deferred submittal),"1920 VINE St, Berkeley, CA"
B2021-00529,Issued,06/04/2021,Residential,Addition/Alteration,1866,THOUSAND OAKS,Blvd,184500.0,"Excavation & partial new foundation for new basement stair, additional headroom @ existing basement.  New media/rec. room, home office and bathroom @ basement level w/ roof deck above.  Remodel second floor bathroom (new vanity and tile). New windows, new doors and new guardrail at second floor.","1866 THOUSAND OAKS Blvd, Berkeley, CA"
B2021-00529-REV01,Issued,05/10/2022,Residential,Addition/Alteration,1866,THOUSAND OAKS,Blvd,184500.0,"Add new balcony at second floor bedroom. Valuation Increase from $170,000 to $184,500.","1866 THOUSAND OAKS Blvd, Berkeley, CA"
B2021-00530,Issued,02/09/2021,Residential,Alteration,1515,LINCOLN,St,0.0,Electrical wiring for the installation of a new manual pull station and horn/strobe or bell (audible device).  Installation must be in accordance with the Berkeley Fire Dept-Fire Prevention Division-Family Day care Pamphlet.  Approved OTC per Jesus DelToro.,"1515 LINCOLN St, Berkeley, CA"
B2021-00532,Issued,02/10/2021,Residential,Alteration,1728,MILVIA,St,0.0,200 Amp main service upgrade.,"1728 MILVIA St, Berkeley, CA"
B2021-00533,Issued,05/10/2021,Residential,Alteration,779,SPRUCE,St,70000.0,"Remodel the kitchen, dining room & half bath. Install sliding glass doors in kitchen & dining room. Demo stairs from the kitchen to the crawlspace. Install new exterior door to crawlspace. Fire Zone 2 Property.","779 SPRUCE St, Berkeley, CA"
B2021-00534,Issued,03/04/2021,Residential,Alteration,3144,CLAREMONT,Ave,0.0,Install 4.08 KW PV solar panels (12 modules) on the roof.,"3144 CLAREMONT Ave, Berkeley, CA"
B2021-00535,Issued,02/11/2021,Residential,Alteration,1932,HEARST,Ave,0.0,Install 60A subpanel.,"1932 HEARST Ave, Berkeley, CA"
B2021-00539,Issued,03/23/2021,Residential,Alteration,2961,BENVENUE,Ave,48800.0,Remodel (E) kitchen and laundry room. (N) gas insert in (E) fireplace. (N) FAU/AC and upgrade electrical panels. No new SF or windows.,"2961 BENVENUE Ave, Berkeley, CA"
B2021-00539-REV01,Issued,04/16/2021,Residential,Alteration,2961,BENVENUE,Ave,48800.0,Revise structural plan to reflect (E) conditions of a non-load wall. discovered during construction. See sheet S2.1. No change in valuation.,"2961 BENVENUE Ave, Berkeley, CA"
B2021-00541,Issued,02/11/2021,Residential,Alteration,1627,RUSSELL,St,9700.0,Plan Set A - Seismic Upgrade Not For Transfer Tax Rebate.  For brace and bolt.,"1627 RUSSELL St, Berkeley, CA"
B2021-00544,Issued,02/11/2021,Residential,Alteration,1806,SAN ANTONIO,Ave,0.0,Install multi zone ductless mini split system,"1806 SAN ANTONIO Ave, Berkeley, CA"
B2021-00545,Issued,05/18/2021,Residential,Addition/Alteration,1229,NEILSON,St,245000.0,Rear second story addition 598 sq ft.,"1229 NEILSON St, Berkeley, CA"
B2021-00551,Issued,03/01/2021,Residential,Alteration,2669,LE CONTE,Ave,0.0,Clean up existing wires per housing case #H2017-00108 item #24.,"2669 LE CONTE Ave, Berkeley, CA"
B2021-00553,Issued,06/04/2021,Residential,Alteration,1471,LINCOLN,St,21650.0,Engineered seismic retrofit in accordance with CBC Chapter A3 for the Earthquake Brace & Bolt program. Qualifies for Transfer Tax Rebate.,"1471 LINCOLN St, Berkeley, CA"
B2021-00554,Issued,05/24/2021,Residential,Alteration,2441,WOOLSEY,St,21775.0,Voluntary strengthening of the walls at the crawlspace and partial foundation replacement. In accordance with CBC Chapter A3 for the Earthquake Brace & Bolt Program. Qualifies for Transfer Tax Rebate.,"2441 WOOLSEY St, Berkeley, CA"
B2021-00563,Issued,03/26/2021,Residential,Alteration,170,TAMALPAIS,Rd,12500.0,"Kitchen remodel: Like for like, new cabinets, new sink, new countertops, new hood, appliances, replace gas line for outdoor grill.  Fire zone 2","170 TAMALPAIS Rd, Berkeley, CA"
B2021-00564,Issued,02/18/2021,Residential,Alteration,1722,NINTH,St,0.0,"Replace FAU with a Goodman GMES96063BN Furnace in the crawl space, and replace water heater with 40 gallon water heater in existing location.","1722 NINTH St, Berkeley, CA"
B2021-00565,Issued,01/12/2022,Residential,Addition/Alteration,2243,ASHBY,Ave,100000.0,Add an 988 SF attached ADU on existing 3 story multi-family unit. ADU is proposed on the ground level at building #1 (2243 Ashby).,"2243 ASHBY Ave, Berkeley, CA"
B2021-00565-REV01,Issued,08/04/2022,Residential,Addition/Alteration,2243,ASHBY,Ave,100000.0,Revise the building to type VA construction per table 504.4 of the CBC. No change in valuation.,"2243 ASHBY Ave, Berkeley, CA"
B2021-00565-REV02,Issued,10/19/2022,Residential,Addition/Alteration,2243,ASHBY,Ave,0.0,Revise with structural plans that were missing from previous submission.,"2243 ASHBY Ave, Berkeley, CA"
B2021-00576,Issued,02/11/2021,Residential,Alteration,2126,ACTON,St,0.0,"1)Due to a gas leak from an old corroded exposed gas line was replaced with a new line. 
2) Stray Votage in ihe gas meter due to grounded gas pipe was removed (the ground wire.)","2126 ACTON St, Berkeley, CA"
B2021-00577,Issued,03/01/2021,Residential,Alteration,1031,DELAWARE,St,17000.0,install 16 solar panels - 6.56 kwh and rafter upgrade,"1031 DELAWARE St, Berkeley, CA"
B2021-00594,Issued,02/16/2021,Residential,Alteration,1246,HEARST,Ave,0.0,Remove gas lines in crawl space. Install (4) new gas services.,"1246 HEARST Ave, Berkeley, CA"
B2021-00595,Issued,02/27/2021,Residential,Alteration,2928,BENVENUE,Ave,0.0,Replace (E) water heater with tank less model in same location.,"2928 BENVENUE Ave, Berkeley, CA"
B2021-00596,Issued,08/17/2021,Residential,Alteration,740,PERALTA,Ave,0.0,125A main panel upgrade.,"740 PERALTA Ave, Berkeley, CA"
B2021-00598,Issued,02/22/2021,Residential,Alteration,2609,MATHEWS,St,0.0,Upgrading the electrical main meter panel to 200 Amps.,"2609 MATHEWS St, Berkeley, CA"
B2021-00602,Issued,02/17/2021,Residential,Alteration,1410,HAWTHORNE,Ter,0.0,Meter release & PG&E recheck.,"1410 HAWTHORNE Ter, Berkeley, CA"
B2021-00604,Issued,06/20/2021,Residential,Alteration,1819,VIRGINIA,St,45800.0,New bathroom in existing second story room. New windows & skylight in existing openings.,"1819 VIRGINIA St, Berkeley, CA"
B2021-00605,Issued,03/05/2021,Residential,Alteration,11,HILL,Rd,11000.0,Remove existing roofing & re-roof.  Install Tesla solar roof 8.01039 kW PV solar tiles (137 Tiles/21 squares) & 2 ESS/internal load center.  Fire Zone 2 property.,"11 HILL Rd, Berkeley, CA"
B2021-00606,Issued,03/05/2021,Residential,Alteration,2711,DANA,St,10200.0,Remove existing roofing & RE-ROOF. INSTALL Tesla Solar Roof 8.01039 kW PV solar tiles (137 Tiles / 17 Squares) & 1 ESS / Load Center,"2711 DANA St, Berkeley, CA"
B2021-00606-REV01,Issued,10/07/2021,Residential,Alteration,2711,DANA,St,10200.0,"Revision to correct 3-line diagram to match installation. Added 44 roof solar shingle modules, system size increased to 10.58307 kW.","2711 DANA St, Berkeley, CA"
B2021-00606-REV02,Issued,11/09/2021,Residential,Alteration,2711,DANA,St,10200.0,Relocate the Energy Storage System to the exterior of the structure. No increase in valuation.,"2711 DANA St, Berkeley, CA"
